full_name;age;league;season;position;Current Club;nationality;appearances_overall;goals_overall;goals_home;goals_away;assists_overall;assists_home;assists_away;yellow_cards_overall;red_cards_overall
Alan Ferney Navarro Espinosa;33;Categoria Primera A;2015;Midfielder;Patriotas Boyacá;Colombia;13;1;1;0;0;0;0;6;1
Alberto Andrés Pardo Zapata;26;Categoria Primera A;2015;Midfielder;Uniautónoma;Colombia;9;0;0;0;0;0;0;3;0
Alejandro Abraham Guerra Morales;37;Categoria Primera A;2015;Midfielder;Atlético Nacional;Venezuela;26;4;4;0;0;0;0;2;0
Alejandro Bernal Ríos;34;Categoria Primera A;2015;Defender;Atlético Nacional;Colombia;32;1;0;1;0;0;0;10;0
Alejandro Rojas Ortega;27;Categoria Primera A;2015;Midfielder;Cúcuta Deportivo;Colombia;2;0;0;0;0;0;0;1;0
Alex Díaz Díaz;33;Categoria Primera A;2015;Defender;Deportivo Pasto;Colombia;14;0;0;0;0;0;0;5;1
Alex Stik Castro Giraldo;28;Categoria Primera A;2015;Midfielder;Alianza Petrolera;Colombia;35;1;1;0;0;0;0;4;0
Alexander Ibarra Becerra;29;Categoria Primera A;2015;Forward;Jaguares de Córdoba;Colombia;12;0;0;0;0;0;0;0;0
Alexander Mejía Sabalsa;34;Categoria Primera A;2015;Midfielder;Atlético Nacional;Colombia;23;0;0;0;0;0;0;5;0
Alexis Héctor Henríquez Charales;39;Categoria Primera A;2015;Defender;Atlético Nacional;Colombia;37;1;1;0;0;0;0;10;1
Alexis Rafael Pérez Fontanilla;28;Categoria Primera A;2015;Defender;Uniautónoma;Colombia;12;0;0;0;0;0;0;1;0
Alfredo Morelos;26;Categoria Primera A;2015;Forward;Independiente Medellín;Colombia;6;0;0;0;0;0;0;1;0
Alí Rodolfo Reyes Vivero;29;Categoria Primera A;2015;Midfielder;Deportivo Cali;Colombia;2;0;0;0;0;0;0;1;0
Almir de Jesús Soto Maldonado;28;Categoria Primera A;2015;Midfielder;Santa Fe;Colombia;13;2;1;1;0;0;0;4;0
Alonso Antonio Acosta Arrieta;33;Categoria Primera A;2015;Defender;Uniautónoma;Colombia;29;0;0;0;0;0;0;5;0
Álvaro Alberto Arias Almazo;28;Categoria Primera A;2015;Midfielder;Uniautónoma;Colombia;2;0;0;0;0;0;0;1;0
Álvaro Anyiver Angulo Mosquera;25;Categoria Primera A;2015;Defender;Deportivo Pasto;Colombia;4;0;0;0;0;0;0;1;0
Álvaro Francisco Nájera Gil;39;Categoria Primera A;2015;Defender;Atlético Nacional;Colombia;28;2;1;1;0;0;0;7;0
Álvaro Javier Cabas Rivas;26;Categoria Primera A;2015;Forward;Deportes Tolima;Colombia;1;0;0;0;0;0;0;0;0
Alveiro Sánchez Ramírez;24;Categoria Primera A;2015;Forward;Deportivo Cali;Colombia;1;0;0;0;0;0;0;0;0
Amaury Torralvo Polo;28;Categoria Primera A;2015;Defender;La Equidad;Colombia;12;1;1;0;0;0;0;3;0
Anderson Daniel Plata Guillén;31;Categoria Primera A;2015;Forward;Atlético Huila;Colombia;20;2;1;1;0;0;0;4;0
Anderson Fernan Zapata Diosa;37;Categoria Primera A;2015;Midfielder;Rionegro Águilas;Colombia;17;0;0;0;0;0;0;2;0
Andrés Cadavid;36;Categoria Primera A;2015;Defender;Millonarios;Colombia;29;0;0;0;0;0;0;13;1
Andrés Eduardo Pérez Gutiérrez;41;Categoria Primera A;2015;Midfielder;Deportivo Cali;Colombia;41;3;0;3;0;0;0;21;1
Andrés Felipe Álvarez Gordón;29;Categoria Primera A;2015;Defender;Alianza Petrolera;Colombia;3;0;0;0;0;0;0;3;0
Andrés Felipe Arboleda Hurtado;35;Categoria Primera A;2015;Defender;Cúcuta Deportivo;Colombia;14;1;0;1;0;0;0;4;0
Andrés Felipe Correa Osorio;38;Categoria Primera A;2015;Defender;Junior;Colombia;37;1;1;0;0;0;0;6;0
Andrés Felipe Mosquera Guardia;32;Categoria Primera A;2015;Defender;Independiente Medellín;Colombia;40;1;1;0;0;0;0;10;1
Andrés Felipe Orozco Vásquez;43;Categoria Primera A;2015;Defender;Envigado;Colombia;35;1;1;0;0;0;0;9;1
