full_name;age;league;season;position;Current Club;nationality;appearances_overall;goals_overall;goals_home;goals_away;assists_overall;assists_home;assists_away;yellow_cards_overall;red_cards_overall
Abel Enrique Aguilar Tapia;37;Categoria Primera A;2019;Midfielder;Unión Magdalena;Colombia;41;4;4;0;1;1;0;15;1
Adrián Arregui;30;Categoria Primera A;2019;Defender;Independiente Medellín;Argentina;17;4;1;3;1;0;1;6;0
Adrián Estacio;24;Categoria Primera A;2019;Midfielder;Once Caldas;Colombia;10;0;0;0;1;1;0;4;0
Agustín Palavecino;25;Categoria Primera A;2019;Midfielder;Deportivo Cali;Argentina;38;4;1;3;7;3;4;5;1
Alberto Facundo Costa;37;Categoria Primera A;2019;Midfielder;Atlético Nacional;Argentina;9;1;1;0;0;0;0;2;0
Aldair Quintana;28;Categoria Primera A;2019;Goalkeeper;Atlético Nacional;Colombia;20;0;0;0;0;0;0;3;0
Aldo Leao Ramírez Sierra;41;Categoria Primera A;2019;Midfielder;Rionegro Águilas;Colombia;36;3;1;2;3;1;2;6;0
Alejandro Bernal Ríos;34;Categoria Primera A;2019;Defender;Atlético Bucaramanga;Colombia;18;0;0;0;0;0;0;8;1
Alejandro García Castillo;21;Categoria Primera A;2019;Defender;Once Caldas;Colombia;2;0;0;0;0;0;0;1;0
Alejandro Moralez;21;Categoria Primera A;2019;Defender;Santa Fe;Colombia;2;0;0;0;0;0;0;0;0
Alex Enrique Rambal Ramírez;30;Categoria Primera A;2019;Midfielder;Millonarios;Colombia;33;3;1;2;0;0;0;10;1
Alex Stik Castro Giraldo;28;Categoria Primera A;2019;Midfielder;Deportes Tolima;Colombia;47;9;6;3;9;4;5;11;0
Alexis Héctor Henríquez Charales;39;Categoria Primera A;2019;Defender;Atlético Nacional;Colombia;17;0;0;0;0;0;0;0;0
Alexis Hinestroza Estacio;34;Categoria Primera A;2019;Midfielder;Cúcuta Deportivo;Colombia;18;0;0;0;0;0;0;5;0
Alexis Serna Romaña;24;Categoria Primera A;2019;Midfielder;Alianza Petrolera;Colombia;16;2;1;1;1;1;0;6;1
Alexis Zapata Álvarez;27;Categoria Primera A;2019;Midfielder;Envigado;Colombia;37;11;6;5;2;1;1;7;0
Almir de Jesús Soto Maldonado;28;Categoria Primera A;2019;Midfielder;Patriotas Boyacá;Colombia;14;0;0;0;1;1;0;0;0
Álvaro Anyiver Angulo Mosquera;25;Categoria Primera A;2019;Defender;Rionegro Águilas;Colombia;29;0;0;0;0;0;0;6;0
Álvaro Montero;27;Categoria Primera A;2019;Goalkeeper;Deportes Tolima;Colombia;34;0;0;0;0;0;0;4;0
Álvaro Villete Melgar;31;Categoria Primera A;2019;Goalkeeper;Patriotas Boyacá;Uruguay;5;0;0;0;0;0;0;1;0
Alvino Volpi Neto;30;Categoria Primera A;2019;Goalkeeper;América de Cali;Brazil;52;0;0;0;1;1;0;4;0
Amaury Torralvo Polo;28;Categoria Primera A;2019;Defender;La Equidad;Colombia;22;0;0;0;0;0;0;4;1
Anderson Daniel Plata Guillén;31;Categoria Primera A;2019;Forward;Deportes Tolima;Colombia;25;3;1;2;6;4;2;3;0
Anderson Darley Angulo Tenorio;26;Categoria Primera A;2019;Defender;Atlético Bucaramanga;Colombia;8;1;0;1;0;0;0;2;0
Anderson Mojica Palacios;24;Categoria Primera A;2019;Midfielder;Deportivo Cali;Colombia;5;0;0;0;0;0;0;1;0
Andrés Cadavid;36;Categoria Primera A;2019;Defender;Independiente Medellín;Colombia;18;0;0;0;1;1;0;5;0
Andrés Camilo De Armas Bracho;23;Categoria Primera A;2019;Midfielder;La Equidad;Colombia;3;0;0;0;1;0;1;0;0
Andrés Correa Valencia;28;Categoria Primera A;2019;Defender;La Equidad;Colombia;9;0;0;0;1;1;0;2;0
Andrés David Ariza Escalante;24;Categoria Primera A;2019;Forward;Atlético Bucaramanga;Colombia;4;0;0;0;0;0;0;2;0
Andrés Eduardo Pérez Gutiérrez;42;Categoria Primera A;2019;Midfielder;Santa Fe;Colombia;31;0;0;0;1;1;0;15;1
Andrés Felipe Álvarez Molina;23;Categoria Primera A;2019;Midfielder;América de Cali;Colombia;5;0;0;0;1;0;1;1;0
Andrés Felipe Amaya Rivera;21;Categoria Primera A;2019;Midfielder;Atlético Huila;Colombia;21;3;3;0;1;1;0;6;0
Andrés Felipe Angulo;21;Categoria Primera A;2019;Forward;Envigado;Colombia;0;0;0;0;0;0;0;0;0
Andrés Felipe Arboleda Hurtado;35;Categoria Primera A;2019;Defender;Jaguares de Córdoba;Colombia;17;0;0;0;1;1;0;5;0
Andrés Felipe Ávila Tavera;28;Categoria Primera A;2019;Defender;Patriotas Boyacá;Colombia;13;1;1;0;1;0;1;4;1
Andrés Felipe Balanta Cifuentes;22;Categoria Primera A;2019;Defender;Deportivo Cali;Colombia;19;1;0;1;1;0;1;9;1
Andrés Felipe Canchano Charris;23;Categoria Primera A;2019;Defender;Unión Magdalena;Colombia;2;0;0;0;1;1;0;2;0
Andrés Felipe Colorado Sánchez;23;Categoria Primera A;2019;Midfielder;Deportivo Cali;Colombia;32;1;0;1;2;1;1;13;1
Andrés Felipe Correa Osorio;38;Categoria Primera A;2019;Defender;Once Caldas;Colombia;36;0;0;0;0;0;0;12;0
Andrés Felipe Cortabarria Angulo;23;Categoria Primera A;2019;Forward;Unión Magdalena;Colombia;3;0;0;0;0;0;0;0;0
Andrés Felipe Guzmán Álvarez;21;Categoria Primera A;2019;Midfielder;Atlético Nacional;Colombia;1;0;0;0;0;0;0;0;0
Andrés Felipe Pérez Mendoza;23;Categoria Primera A;2019;Goalkeeper;La Equidad;Colombia;0;0;0;0;0;0;0;0;0
Andrés Felipe Román;27;Categoria Primera A;2019;Defender;Millonarios;Colombia;29;3;2;1;3;2;1;16;2
Andrés Jair Rentería Morelo;29;Categoria Primera A;2019;Forward;Rionegro Águilas;Colombia;12;2;1;1;1;0;1;3;0
Andrés Leandro Castellanos Serrano;38;Categoria Primera A;2019;Goalkeeper;Santa Fe;Colombia;26;0;0;0;0;0;0;2;0
Andrés Llinás Montejo;25;Categoria Primera A;2019;Forward;Millonarios;Colombia;0;0;0;0;0;0;0;0;0
Andrés Luis Arroyo Romero;20;Categoria Primera A;2019;Midfielder;Deportivo Cali;Colombia;17;2;0;2;2;2;0;1;0
Andrés Mauricio Restrepo Gómez;41;Categoria Primera A;2019;Midfielder;Rionegro Águilas;Colombia;22;1;1;0;1;0;1;4;0
Andrés Mosquera;31;Categoria Primera A;2019;Goalkeeper;Independiente Medellín;Colombia;1;0;0;0;0;0;0;0;0
Andrés Murillo;26;Categoria Primera A;2019;Defender;La Equidad;Colombia;19;1;1;0;0;0;0;1;0
Andrés Perea;21;Categoria Primera A;2019;Midfielder;Atlético Nacional;Colombia;11;1;1;0;0;0;0;1;0
Andrés Reyes;23;Categoria Primera A;2019;Defender;Atlético Nacional;Colombia;18;1;1;0;0;0;0;4;0
Andrés Ricaurte Vélez;31;Categoria Primera A;2019;Midfielder;Independiente Medellín;Colombia;37;4;3;1;9;6;3;7;0
Andrés Sarmiento;24;Categoria Primera A;2019;Forward;Cúcuta Deportivo;Colombia;19;0;0;0;0;0;0;5;0
Andrey Estupiñán Quiñones;28;Categoria Primera A;2019;Midfielder;Deportivo Pasto;Colombia;44;7;4;3;2;1;1;18;0
Ángel José Bonilla Gutiérrez;25;Categoria Primera A;2019;Forward;Jaguares de Córdoba;Colombia;2;0;0;0;0;0;0;2;0
Anier Alfonso Figueroa Mosquera;35;Categoria Primera A;2019;Defender;Deportivo Pasto;Colombia;19;0;0;0;0;0;0;3;0
Anthony Chelín Uribe Francia;32;Categoria Primera A;2019;Forward;Rionegro Águilas;Venezuela;12;4;1;3;0;0;0;4;0
Antonio Alejandro Otero Orejuéla;38;Categoria Primera A;2019;Goalkeeper;Patriotas Boyacá;Colombia;0;0;0;0;0;0;0;0;0
Antony Jesús Velasco García;23;Categoria Primera A;2019;Midfielder;Cúcuta Deportivo;Colombia;2;0;0;0;0;0;0;0;0
Antony José Otero Carrascal;26;Categoria Primera A;2019;Forward;Santa Fe;Colombia;1;0;0;0;0;0;0;1;1
Arled Cadavid Valencia;31;Categoria Primera A;2019;Goalkeeper;América de Cali;Colombia;12;0;0;0;0;0;0;0;0
Arley Rodríguez;29;Categoria Primera A;2019;Forward;Envigado;Colombia;26;1;1;0;2;2;0;7;1
Armando Junior Vargas Morales;33;Categoria Primera A;2019;Midfielder;La Equidad;Colombia;28;2;1;1;5;4;1;8;0
Baldomero Perlaza Perlaza;30;Categoria Primera A;2019;Midfielder;Atlético Nacional;Colombia;39;6;3;3;3;1;2;8;0
Bernaldo Antonio Manzano Barón;32;Categoria Primera A;2019;Midfielder;Deportes Tolima;Venezuela;9;0;0;0;1;0;1;1;0
Braison Ricardo Cardona Simarra;24;Categoria Primera A;2019;Midfielder;Jaguares de Córdoba;Colombia;1;0;0;0;0;0;0;0;0
Brandon Andrés Caicedo Angulo;21;Categoria Primera A;2019;Defender;Atlético Nacional;Colombia;5;0;0;0;0;0;0;0;0
Brayan Alexander Orozco Mesa;23;Categoria Primera A;2019;Midfielder;Atlético Huila;Colombia;5;0;0;0;0;0;0;0;0
Brayan Alexis Fernández Garcés;30;Categoria Primera A;2019;Forward;Patriotas Boyacá;Colombia;29;7;5;2;0;0;0;7;2
Brayan Andrés Perea Vargas;29;Categoria Primera A;2019;Forward;Santa Fe;Colombia;11;1;1;0;1;0;1;2;0
Brayan Andrés Rovira Ferreira;25;Categoria Primera A;2019;Forward;Atlético Nacional;Colombia;40;2;1;1;2;2;0;7;2
Brayan Arley Gómez Ramírez;22;Categoria Primera A;2019;Midfielder;Atlético Nacional;Colombia;0;0;0;0;0;0;0;0;0
Brayan Damián Lucumí Lucumí;28;Categoria Primera A;2019;Midfielder;Envigado;Colombia;12;0;0;0;0;0;0;2;0
Brayan Darío Correa Gamarra;29;Categoria Primera A;2019;Defender;Unión Magdalena;Colombia;14;0;0;0;0;0;0;3;0
Brayan Moreno Álvarez;23;Categoria Primera A;2019;Forward;Atlético Huila;Colombia;3;0;0;0;0;0;0;1;0
Brayan Moreno Cárdenas;24;Categoria Primera A;2019;Forward;Atlético Huila;Colombia;5;0;0;0;0;0;0;2;0
Brayan Stiven Carabalí Bonilla;23;Categoria Primera A;2019;Defender;Independiente Medellín;Colombia;0;0;0;0;0;0;0;0;0
Brayan Stiven Cordoba Barrientos;23;Categoria Primera A;2019;Midfielder;Atlético Nacional;Colombia;3;0;0;0;0;0;0;1;0
Brayan Stiven Montaño Montaño;20;Categoria Primera A;2019;Defender;Deportivo Cali;Colombia;0;0;0;0;0;0;0;0;0
Brayhan Andrés Torres Quiñones;24;Categoria Primera A;2019;Defender;Deportivo Pasto;Colombia;7;0;0;0;0;0;0;1;0
Brayner Jesús De Alba Castro;29;Categoria Primera A;2019;Midfielder;La Equidad;Colombia;23;0;0;0;0;0;0;2;0
Brayner Yesid García Leal;36;Categoria Primera A;2019;Defender;Cúcuta Deportivo;Colombia;31;0;0;0;0;0;0;9;0
Breiner Alexander Paz Medina;25;Categoria Primera A;2019;Defender;Millonarios;Colombia;14;0;0;0;1;1;0;5;0
Bruno Moreira Soares;23;Categoria Primera A;2019;Midfielder;Envigado;Brazil;20;1;1;0;1;0;1;0;0
Bryan David Castrillón Gómez;23;Categoria Primera A;2019;Forward;Independiente Medellín;Colombia;20;0;0;0;0;0;0;0;0
Camilo Andrés Ayala Quintero;36;Categoria Primera A;2019;Midfielder;Deportivo Pasto;Colombia;31;2;0;2;1;1;0;13;0
Camilo Andrés Díaz Arias;25;Categoria Primera A;2019;Defender;Rionegro Águilas;Colombia;1;0;0;0;0;0;0;0;0
Camilo Andrés Vargas Gil;33;Categoria Primera A;2019;Goalkeeper;Deportivo Cali;Colombia;21;1;1;0;0;0;0;4;0
Camilo Ariza;26;Categoria Primera A;2019;Goalkeeper;Deportivo Cali;Colombia;0;0;0;0;0;0;0;0;0
Camilo Charria;23;Categoria Primera A;2019;Forward;Santa Fe;Colombia;3;1;0;1;0;0;0;1;0
Camilo Javier Mancilla Valencia;29;Categoria Primera A;2019;Defender;Atlético Bucaramanga;Colombia;27;1;0;1;2;2;0;11;0
Carlos Alberto Henao Sánchez;33;Categoria Primera A;2019;Defender;Deportivo Pasto;Colombia;30;2;1;1;0;0;0;5;0
Carlos Alberto Ibargüen Hinojosa;27;Categoria Primera A;2019;Forward;Atlético Bucaramanga;Colombia;19;0;0;0;0;0;0;2;0
Carlos Alberto Riascos Guazá;28;Categoria Primera A;2019;Defender;Atlético Huila;Colombia;4;0;0;0;0;0;0;1;0
