full_name;age;league;season;position;Current Club;nationality;appearances_overall;goals_overall;goals_home;goals_away;assists_overall;assists_home;assists_away;yellow_cards_overall;red_cards_overall
Juan Diego Alegría Arango;21;Categoria Primera A;2023;Forward;Jaguares de Córdoba;Colombia;13;1;1;0;0;0;0;1;0
Juan Diego Ceballos Cardona;24;Categoria Primera A;2023;Defender;Alianza Petrolera;Colombia;4;0;0;0;0;0;0;0;0
Juan Esteban Avalo Trejos;22;Categoria Primera A;2023;Midfielder;Rionegro Águilas;Colombia;2;0;0;0;0;0;0;0;0
Juan Esteban Carvajal Granados;20;Categoria Primera A;2023;Forward;Millonarios;Colombia;9;0;0;0;1;1;0;0;0
Juan Esteban Henao;18;Categoria Primera A;2023;Midfielder;Jaguares de Córdoba;Colombia;1;0;0;0;0;0;0;0;0
Juan Esteban Muñoz Gallego;19;Categoria Primera A;2023;Goalkeeper;Once Caldas;Colombia;0;0;0;0;0;0;0;0;0
Juan Felipe Aguirre;27;Categoria Primera A;2023;Defender;Atlético Nacional;Colombia;36;3;1;2;0;0;0;8;1
Juan Felipe Hincapié Gómez;18;Categoria Primera A;2023;Midfielder;América de Cali;Colombia;0;0;0;0;0;0;0;0;0
Juan Fernando Asprilla Mosquera;24;Categoria Primera A;2023;Forward;Boyacá Chicó;Colombia;6;0;0;0;0;0;0;1;0
Juan Fernando Caicedo Benítez;34;Categoria Primera A;2023;Forward;Atlético Huila;Colombia;23;3;2;1;1;1;0;2;0
Juan Fernando Quintero Paniagua;30;Categoria Primera A;2023;Midfielder;Junior;Colombia;6;1;1;0;0;0;0;1;0
Juan Franco;21;Categoria Primera A;2023;Defender;Deportivo Cali;Colombia;15;0;0;0;1;1;0;5;0
Juan Gabriel Marcelin Pérez;23;Categoria Primera A;2023;Midfielder;Atlético Bucaramanga;Colombia;19;0;0;0;0;0;0;3;0
Juan Guillermo Arboleda Sánchez;34;Categoria Primera A;2023;Defender;Deportes Tolima;Colombia;16;0;0;0;1;1;0;5;0
Juan Hurtado;25;Categoria Primera A;2023;Midfielder;Alianza Petrolera;Colombia;1;0;0;0;0;0;0;0;0
Juan José Arias;19;Categoria Primera A;2023;Midfielder;Atlético Nacional;Colombia;9;0;0;0;1;1;0;1;0
Juan José Mera González;21;Categoria Primera A;2023;Midfielder;Deportes Tolima;Colombia;6;0;0;0;0;0;0;1;0
Juan José Mina González;19;Categoria Primera A;2023;Defender;Deportivo Cali;Colombia;5;0;0;0;1;0;1;0;0
Juan José Rubiano Falla;21;Categoria Primera A;2023;Forward;Deportes Tolima;Colombia;4;0;0;0;0;0;0;1;0
Juan José Tello Perlaza;21;Categoria Primera A;2023;Midfielder;Deportivo Cali;Colombia;13;0;0;0;0;0;0;3;0
Juan Manuel Valencia Aponzá;25;Categoria Primera A;2023;Midfielder;Deportes Tolima;Colombia;8;0;0;0;0;0;0;1;0
Juan Manuel Zapata Zumaque;23;Categoria Primera A;2023;Defender;Envigado;Colombia;18;2;1;1;1;1;0;8;0
Juan Mateo Garavito Peláez;23;Categoria Primera A;2023;Defender;Santa Fe;Colombia;28;0;0;0;0;0;0;7;0
Juan Moreno;24;Categoria Primera A;2023;Goalkeeper;Millonarios;Colombia;12;0;0;0;0;0;0;0;0
Juan Pablo Álvarez Múnera;26;Categoria Primera A;2023;Forward;América de Cali;Colombia;1;0;0;0;0;0;0;0;0
Juan Pablo Aristizábal Echeverri;18;Categoria Primera A;2023;Midfielder;Envigado;Colombia;1;0;0;0;0;0;0;0;0
Juan Pablo Munera Silva;22;Categoria Primera A;2023;Goalkeeper;América de Cali;Colombia;0;0;0;0;0;0;0;0;0
Juan Pablo Nieto Salazar;30;Categoria Primera A;2023;Midfielder;Deportes Tolima;Colombia;30;1;1;0;2;2;0;6;0
Juan Pablo Otálvaro Bedoya;25;Categoria Primera A;2023;Midfielder;Deportivo Pasto;Colombia;5;0;0;0;1;1;0;0;0
Juan Pablo Patiño Paz;25;Categoria Primera A;2023;Midfielder;Alianza Petrolera;Colombia;17;0;0;0;0;0;0;4;0
Juan Pablo Vargas Campos;28;Categoria Primera A;2023;Defender;Millonarios;Costa Rica;29;3;3;0;1;1;0;2;0
Juan Pérez;32;Categoria Primera A;2023;Forward;Jaguares de Córdoba;Colombia;12;0;0;0;1;1;0;0;0
Juan Quintero;28;Categoria Primera A;2023;Defender;Deportivo Pereira;Colombia;22;0;0;0;0;0;0;4;0
Juan Sabestián Ostos Forero;22;Categoria Primera A;2023;Midfielder;Boyacá Chicó;Colombia;3;0;0;0;0;0;0;0;0
Juan Sebastián Madrid Cabarcas;21;Categoria Primera A;2023;Defender;Jaguares de Córdoba;Colombia;2;0;0;0;0;0;0;0;0
Juan Sebastián Peñaloza Ragga;23;Categoria Primera A;2023;Forward;Deportivo Pereira;Colombia;2;0;0;0;0;0;0;1;0
Juan Torres;19;Categoria Primera A;2023;Defender;Atlético Nacional;Colombia;20;3;2;1;1;1;0;2;0
Juan Zuluaga;30;Categoria Primera A;2023;Defender;Deportivo Pereira;Colombia;32;2;1;1;2;1;1;9;0
Julián Alveiro Quiñónes García;33;Categoria Primera A;2023;Defender;Deportes Tolima;Colombia;19;2;1;1;0;0;0;8;0
Julián Andrés Bazán Medina;17;Categoria Primera A;2023;Midfielder;Deportivo Pereira;Colombia;0;0;0;0;0;0;0;0;0
Julián Andrés Rodríguez Lasso;20;Categoria Primera A;2023;Defender;Independiente Medellín;Colombia;0;0;0;0;0;0;0;0;0
Julián Camilo Millán Díaz;25;Categoria Primera A;2023;Midfielder;Santa Fe;Colombia;22;1;0;1;0;0;0;2;0
Julián Estiben Angulo Sevillano;21;Categoria Primera A;2023;Forward;Deportes Tolima;Colombia;4;0;0;0;0;0;0;1;0
Julián Palacio;20;Categoria Primera A;2023;Midfielder;Envigado;Colombia;12;0;0;0;0;0;0;1;0
Junior Alexis Hernández Angulo;24;Categoria Primera A;2023;Forward;Deportes Tolima;Colombia;30;1;1;0;3;1;2;8;0
Kelmer Hurtado Herrera;24;Categoria Primera A;2023;Defender;Boyacá Chicó;Colombia;5;0;0;0;0;0;0;0;0
Kelvin David Osorio Antury;30;Categoria Primera A;2023;Midfielder;Santa Fe;Colombia;6;0;0;0;1;0;1;2;1
Kener Valencia;22;Categoria Primera A;2023;Midfielder;Deportivo Pereira;Colombia;21;3;1;2;1;0;1;2;0
Kevin Aladesanmi;24;Categoria Primera A;2023;Midfielder;Deportivo Pereira;Colombia;18;3;1;2;2;2;0;1;0
Kevin Alexander Londoño Asprilla;29;Categoria Primera A;2023;Midfielder;Santa Fe;Colombia;33;1;0;1;1;0;1;6;0
Kevin Andrés Mantilla Camargo;20;Categoria Primera A;2023;Midfielder;Santa Fe;Colombia;6;0;0;0;0;0;0;1;0
Kevin Andrés Salazar Sandoval;25;Categoria Primera A;2023;Midfielder;Deportivo Cali;Colombia;25;0;0;0;1;0;1;6;0
Kevin Andrés Velasco Bonilla;26;Categoria Primera A;2023;Defender;Deportivo Cali;Colombia;20;6;3;3;2;1;1;4;0
Kevin Andrey Londoño Flórez;23;Categoria Primera A;2023;Midfielder;Boyacá Chicó;Colombia;41;1;0;1;2;1;1;3;0
Kevin David Salazar Chiquiza;27;Categoria Primera A;2023;Midfielder;La Equidad;Colombia;16;1;0;1;1;1;0;3;0
Kevin Duvan Castaño Gil;23;Categoria Primera A;2023;Midfielder;Rionegro Águilas;Colombia;17;2;1;1;2;1;1;6;0
Kevin Emiliano Dawson Blanco;31;Categoria Primera A;2023;Goalkeeper;Deportivo Cali;Uruguay;19;0;0;0;0;0;0;0;0
Kevin Javier Padilla Madrid;22;Categoria Primera A;2023;Midfielder;Junior;Colombia;4;0;0;0;0;0;0;0;0
Kevin José Angulo Garcés;21;Categoria Primera A;2023;Midfielder;América de Cali;Colombia;4;0;0;0;0;0;0;0;0
Kevin Mier;23;Categoria Primera A;2023;Goalkeeper;Atlético Nacional;Colombia;32;0;0;0;0;0;0;3;0
Kevin Orlando Andrade Murillo;24;Categoria Primera A;2023;Defender;América de Cali;Colombia;36;0;0;0;2;2;0;11;0
Kevin Oswaldo Torres Rodríguez;21;Categoria Primera A;2023;Midfielder;Alianza Petrolera;Colombia;11;0;0;0;0;0;0;2;0
Kevin Palacios;23;Categoria Primera A;2023;Midfielder;Deportivo Pereira;Colombia;9;0;0;0;1;0;1;0;0
Kevin Pérez;26;Categoria Primera A;2023;Midfielder;Deportes Tolima;Colombia;20;1;1;0;1;1;0;4;0
Kevin Santiago Cortés Díaz;20;Categoria Primera A;2023;Midfielder;Millonarios;Colombia;1;0;0;0;0;0;0;0;0
Kevin Saucedo;23;Categoria Primera A;2023;Defender;Deportivo Cali;Colombia;5;0;0;0;0;0;0;0;0
Kevin Stiven Viveros Rodallega;23;Categoria Primera A;2023;Forward;Deportivo Cali;Colombia;19;4;1;3;0;0;0;1;0
Kevin Stuar Riascos Segura;28;Categoria Primera A;2023;Defender;Deportivo Cali;Colombia;6;0;0;0;0;0;0;2;0
Kilian David Toscano Bassa;19;Categoria Primera A;2023;Forward;Atlético Nacional;Colombia;1;0;0;0;0;0;0;0;0
Kleimar Andres Mosquera Murillo;23;Categoria Primera A;2023;Defender;Jaguares de Córdoba;Colombia;13;0;0;0;0;0;0;2;0
Kliver Moreno;23;Categoria Primera A;2023;Defender;Millonarios;Colombia;10;0;0;0;0;0;0;1;0
Larry Angulo;28;Categoria Primera A;2023;Midfielder;Deportivo Pereira;Colombia;13;1;1;0;0;0;0;3;0
Larry Vásquez Ortega;31;Categoria Primera A;2023;Midfielder;Millonarios;Colombia;37;1;0;1;0;0;0;8;0
Léider Andrés Riascos Suárez;23;Categoria Primera A;2023;Defender;Deportes Tolima;Colombia;23;0;0;0;0;0;0;5;0
Léider Iván Berrío Peña;25;Categoria Primera A;2023;Midfielder;Junior;Colombia;27;1;0;1;2;1;1;5;0
