full_name;age;league;season;position;Current Club;nationality;appearances_overall;goals_overall;goals_home;goals_away;assists_overall;assists_home;assists_away;yellow_cards_overall;red_cards_overall
Abel Enrique Aguilar Tapia;37;Categoria Primera A;2018;Midfielder;Deportivo Cali;Colombia;14;1;1;0;0;0;0;10;2
Adrián Estacio;24;Categoria Primera A;2018;Midfielder;Deportivo Pasto;Colombia;12;1;0;1;1;0;1;4;1
Agustín Vuletich;30;Categoria Primera A;2018;Forward;Rionegro Águilas;Argentina;4;1;0;1;0;0;0;0;0
Alberto Junior Rodríguez Valdelomar;38;Categoria Primera A;2018;Defender;Junior;Peru;5;0;0;0;0;0;0;1;0
Aldair Quintana;28;Categoria Primera A;2018;Goalkeeper;Atlético Huila;Colombia;4;0;0;0;0;0;0;0;0
Aldo Leao Ramírez Sierra;41;Categoria Primera A;2018;Midfielder;Atlético Nacional;Colombia;30;3;1;2;2;2;0;3;0
Alejandro Bernal Ríos;34;Categoria Primera A;2018;Defender;América de Cali;Colombia;22;2;1;1;0;0;0;8;2
Alejandro Brian Barbaro;30;Categoria Primera A;2018;Midfielder;Independiente Medellín;Argentina;3;0;0;0;0;0;0;0;0
Alejandro García Castillo;21;Categoria Primera A;2018;Defender;Once Caldas;Colombia;6;0;0;0;0;0;0;0;0
Alex Díaz Díaz;33;Categoria Primera A;2018;Defender;Atlético Bucaramanga;Colombia;1;0;0;0;0;0;0;0;0
Alex Stik Castro Giraldo;28;Categoria Primera A;2018;Midfielder;Alianza Petrolera;Colombia;31;3;3;0;6;4;2;8;1
Alexander Gonzalez Moreno;27;Categoria Primera A;2018;Midfielder;Jaguares de Córdoba;Panama;4;0;0;0;0;0;0;1;0
Alexis Héctor Henríquez Charales;39;Categoria Primera A;2018;Defender;Atlético Nacional;Colombia;32;3;1;2;3;1;2;7;0
Alexis Hinestroza Estacio;34;Categoria Primera A;2018;Midfielder;Jaguares de Córdoba;Colombia;32;0;0;0;0;0;0;11;0
Alexis Zapata Álvarez;27;Categoria Primera A;2018;Midfielder;Envigado;Colombia;7;1;0;1;1;0;1;2;1
Almir de Jesús Soto Maldonado;28;Categoria Primera A;2018;Midfielder;Santa Fe;Colombia;9;1;1;0;0;0;0;1;0
Álvaro Anyiver Angulo Mosquera;25;Categoria Primera A;2018;Defender;Rionegro Águilas;Colombia;21;0;0;0;0;0;0;6;0
Álvaro Francisco Nájera Gil;39;Categoria Primera A;2018;Defender;La Equidad;Colombia;21;0;0;0;0;0;0;4;0
Álvaro Montero;27;Categoria Primera A;2018;Goalkeeper;Deportes Tolima;Colombia;38;0;0;0;1;0;1;5;0
Alvino Volpi Neto;30;Categoria Primera A;2018;Goalkeeper;América de Cali;Brazil;7;0;0;0;0;0;0;0;0
Amaury Torralvo Polo;28;Categoria Primera A;2018;Defender;La Equidad;Colombia;22;1;1;0;1;1;0;5;0
Anderson Daniel Plata Guillén;31;Categoria Primera A;2018;Forward;Santa Fe;Colombia;17;3;1;2;1;1;0;2;0
Anderson Darley Angulo Tenorio;26;Categoria Primera A;2018;Defender;Leones;Colombia;10;0;0;0;0;0;0;1;0
Anderson Fernan Zapata Diosa;37;Categoria Primera A;2018;Midfielder;América de Cali;Colombia;16;0;0;0;0;0;0;3;1
Andrés Cadavid;36;Categoria Primera A;2018;Defender;Millonarios;Colombia;32;8;6;2;0;0;0;12;1
Andrés Correa Valencia;28;Categoria Primera A;2018;Defender;La Equidad;Colombia;18;0;0;0;1;0;1;5;0
Andrés Eduardo Pérez Gutiérrez;41;Categoria Primera A;2018;Midfielder;Deportivo Cali;Colombia;31;1;1;0;0;0;0;12;0
Andrés Felipe Álvarez Gordón;29;Categoria Primera A;2018;Defender;Once Caldas;Colombia;3;1;1;0;1;0;1;2;0
Andrés Felipe Álvarez Molina;23;Categoria Primera A;2018;Midfielder;América de Cali;Colombia;3;0;0;0;0;0;0;0;0
Andrés Felipe Amaya Rivera;21;Categoria Primera A;2018;Midfielder;Atlético Huila;Colombia;20;1;1;0;1;0;1;2;0
Andrés Felipe Ávila Tavera;28;Categoria Primera A;2018;Defender;Patriotas Boyacá;Colombia;39;2;0;2;2;0;2;9;0
Andrés Felipe Balanta Cifuentes;22;Categoria Primera A;2018;Defender;Deportivo Cali;Colombia;11;0;0;0;0;0;0;1;0
Andrés Felipe Correa Osorio;38;Categoria Primera A;2018;Defender;Once Caldas;Colombia;38;2;1;1;0;0;0;14;0
Andrés Felipe Dussan Monje;22;Categoria Primera A;2018;Goalkeeper;Atlético Huila;Colombia;0;0;0;0;0;0;0;0;0
