full_name;age;league;season;position;Current Club;nationality;appearances_overall;goals_overall;goals_home;goals_away;assists_overall;assists_home;assists_away;yellow_cards_overall;red_cards_overall
Adrián Arregui;30;Categoria Primera A;2020;Defender;Independiente Medellín;Argentina;5;0;0;0;0;0;0;5;1
Adrián Estacio;24;Categoria Primera A;2020;Midfielder;Once Caldas;Colombia;6;1;0;1;0;0;0;1;0
Agustín Cano Lotero;21;Categoria Primera A;2020;Midfielder;Atlético Nacional;Colombia;1;0;0;0;0;0;0;1;0
Agustín Palavecino;25;Categoria Primera A;2020;Midfielder;Deportivo Cali;Argentina;19;10;5;5;4;4;0;5;0
Agustín Vuletich;30;Categoria Primera A;2020;Forward;Cúcuta Deportivo;Argentina;17;4;2;2;2;1;1;4;0
Alberto Facundo Costa;37;Categoria Primera A;2020;Midfielder;Atlético Nacional;Argentina;2;0;0;0;0;0;0;0;0
Aldair Quintana;28;Categoria Primera A;2020;Goalkeeper;Atlético Nacional;Colombia;7;0;0;0;0;0;0;0;0
Aldair Rodríguez;28;Categoria Primera A;2020;Forward;América de Cali;Peru;4;0;0;0;0;0;0;1;0
Aldo Leao Ramírez Sierra;41;Categoria Primera A;2020;Midfielder;Rionegro Águilas;Colombia;14;0;0;0;0;0;0;0;0
Alejandro Artunduaga Meneses;25;Categoria Primera A;2020;Midfielder;Deportivo Pereira;Colombia;18;1;0;1;1;0;1;4;0
Alejandro García Castillo;21;Categoria Primera A;2020;Defender;Once Caldas;Colombia;9;0;0;0;2;1;1;0;0
Alejandro Moralez;21;Categoria Primera A;2020;Defender;Santa Fe;Colombia;0;0;0;0;0;0;0;0;0
Alejandro Piedrahita Díaz;20;Categoria Primera A;2020;Midfielder;Deportivo Pereira;Colombia;10;0;0;0;1;1;0;0;0
Alex Enrique Rambal Ramírez;29;Categoria Primera A;2020;Midfielder;La Equidad;Colombia;5;0;0;0;0;0;0;2;0
Alexis Estupiñan;21;Categoria Primera A;2020;Defender;Atlético Nacional;Colombia;1;0;0;0;0;0;0;0;0
Álvaro Anyiver Angulo Mosquera;25;Categoria Primera A;2020;Defender;Rionegro Águilas;Colombia;19;4;3;1;1;1;0;4;0
Álvaro José Meléndez Escobar;25;Categoria Primera A;2020;Forward;Alianza Petrolera;Colombia;6;0;0;0;0;0;0;1;0
Álvaro Montero;27;Categoria Primera A;2020;Goalkeeper;Deportes Tolima;Colombia;18;0;0;0;0;0;0;4;0
Álvaro Villete Melgar;31;Categoria Primera A;2020;Goalkeeper;Patriotas Boyacá;Uruguay;8;0;0;0;0;0;0;2;0
Amaury Torralvo Polo;28;Categoria Primera A;2020;Defender;La Equidad;Colombia;18;0;0;0;1;1;0;5;1
Anderson Daniel Plata Guillén;31;Categoria Primera A;2020;Forward;Deportes Tolima;Colombia;9;1;0;1;1;1;0;2;0
Anderson Darley Angulo Tenorio;26;Categoria Primera A;2020;Defender;Deportes Tolima;Colombia;6;0;0;0;0;0;0;2;1
Andrés Andrade;33;Categoria Primera A;2020;Midfielder;Atlético Nacional;Colombia;21;7;2;5;9;5;4;5;0
Andrés Cadavid;36;Categoria Primera A;2020;Defender;Independiente Medellín;Colombia;21;3;3;0;0;0;0;4;0
Andrés Correa Valencia;28;Categoria Primera A;2020;Defender;La Equidad;Colombia;10;0;0;0;0;0;0;1;1
Andrés Eduardo Pérez Gutiérrez;42;Categoria Primera A;2020;Midfielder;Santa Fe;Colombia;21;1;1;0;1;1;0;10;1
Andrés Felipe Ávila Tavera;28;Categoria Primera A;2020;Defender;Patriotas Boyacá;Colombia;11;0;0;0;0;0;0;0;0
Andrés Felipe Balanta Cifuentes;22;Categoria Primera A;2020;Defender;Deportivo Cali;Colombia;17;2;2;0;0;0;0;2;0
Andrés Felipe Colorado Sánchez;23;Categoria Primera A;2020;Midfielder;Deportivo Cali;Colombia;19;1;0;1;1;0;1;6;1
Andrés Felipe Correa Osorio;38;Categoria Primera A;2020;Defender;Once Caldas;Colombia;21;2;1;1;0;0;0;4;0
Andrés Felipe Pérez Mendoza;23;Categoria Primera A;2020;Goalkeeper;La Equidad;Colombia;0;0;0;0;0;0;0;0;0
Andrés Felipe Román;26;Categoria Primera A;2020;Defender;Millonarios;Colombia;17;1;0;1;4;1;3;3;0
Andrés Ferrín;21;Categoria Primera A;2020;Midfielder;Once Caldas;Colombia;2;0;0;0;0;0;0;1;0
Andrés Jair Rentería Morelo;29;Categoria Primera A;2020;Forward;Rionegro Águilas;Colombia;15;4;1;3;1;1;0;1;0
Andrés Leandro Castellanos Serrano;38;Categoria Primera A;2020;Goalkeeper;Santa Fe;Colombia;21;0;0;0;0;0;0;0;0
Andrés Llinás Montejo;25;Categoria Primera A;2020;Forward;Millonarios;Colombia;4;0;0;0;0;0;0;1;0
Andrés Luis Arroyo Romero;20;Categoria Primera A;2020;Midfielder;Deportivo Cali;Colombia;12;0;0;0;1;1;0;0;0
Andrés Mauricio Restrepo Gómez;41;Categoria Primera A;2020;Midfielder;Rionegro Águilas;Colombia;4;0;0;0;0;0;0;1;0
Andrés Mosquera;31;Categoria Primera A;2020;Goalkeeper;Independiente Medellín;Colombia;19;0;0;0;0;0;0;2;0
Andrés Murillo;26;Categoria Primera A;2020;Defender;La Equidad;Colombia;21;0;0;0;2;2;0;3;0
Andrés Ramiro Escobar Díaz;31;Categoria Primera A;2020;Forward;Cúcuta Deportivo;Colombia;4;0;0;0;1;0;1;0;0
Andrés Rentería;21;Categoria Primera A;2020;Defender;Alianza Petrolera;Colombia;3;0;0;0;0;0;0;1;0
Andrés Ricaurte Vélez;30;Categoria Primera A;2020;Midfielder;Independiente Medellín;Colombia;7;2;1;1;1;1;0;4;0
