full_name;age;league;season;position;Current Club;nationality;appearances_overall;goals_overall;goals_home;goals_away;assists_overall;assists_home;assists_away;yellow_cards_overall;red_cards_overall
Adam Ozeri;25;Categoria Primera A;2021;Midfielder;Patriotas Boyacá;USA;5;0;0;0;0;0;0;1;0
Adrián Arregui;31;Categoria Primera A;2021;Defender;Independiente Medellín;Argentina;17;2;1;1;1;1;0;6;1
Adrián Estacio;25;Categoria Primera A;2021;Midfielder;Once Caldas;Colombia;21;1;1;0;2;2;0;2;1
Adrián Parra Osorio;26;Categoria Primera A;2021;Forward;Atlético Huila;Colombia;10;0;0;0;1;1;0;0;0
Agustín Cano Lotero;22;Categoria Primera A;2021;Midfielder;Atlético Nacional;Colombia;1;0;0;0;0;0;0;0;0
Agustín Palavecino;26;Categoria Primera A;2021;Midfielder;Deportivo Cali;Argentina;3;2;0;2;0;0;0;1;0
Agustín Vuletich;31;Categoria Primera A;2021;Forward;Independiente Medellín;Argentina;30;10;8;2;1;0;1;7;0
Aldair Quintana;29;Categoria Primera A;2021;Goalkeeper;Atlético Nacional;Colombia;39;0;0;0;0;0;0;6;0
Aldair Rodríguez;29;Categoria Primera A;2021;Forward;América de Cali;Peru;13;0;0;0;1;1;0;4;0
Aldair Yesid Gutiérrez Toncel;25;Categoria Primera A;2021;Defender;Deportivo Pereira;Colombia;19;1;1;0;0;0;0;6;0
Alejandro Aguilar;19;Categoria Primera A;2021;Goalkeeper;Deportes Tolima;Colombia;0;0;0;0;0;0;0;0;0
Alejandro Artunduaga Meneses;26;Categoria Primera A;2021;Midfielder;Rionegro Águilas;Colombia;27;0;0;0;0;0;0;2;0
Alejandro Brian Barbaro;31;Categoria Primera A;2021;Midfielder;Deportivo Pasto;Argentina;11;0;0;0;2;2;0;4;0
Alejandro Daniel Toledo;33;Categoria Primera A;2021;Forward;Envigado;Argentina;11;0;0;0;0;0;0;1;0
Alejandro Gabriel Quintana;31;Categoria Primera A;2021;Forward;Atlético Bucaramanga;Argentina;29;7;5;2;1;1;0;3;0
Alejandro García Castillo;22;Categoria Primera A;2021;Defender;Once Caldas;Colombia;26;3;2;1;0;0;0;2;0
Alejandro Moralez;22;Categoria Primera A;2021;Defender;Santa Fe;Colombia;9;0;0;0;0;0;0;1;0
Alejandro Piedrahita Díaz;21;Categoria Primera A;2021;Midfielder;Deportivo Pereira;Colombia;19;2;2;0;0;0;0;3;0
Alejandro Rodríguez;22;Categoria Primera A;2021;Goalkeeper;Deportivo Cali;Colombia;0;0;0;0;0;0;0;0;0
Alex Stik Castro Giraldo;29;Categoria Primera A;2021;Midfielder;Atlético Nacional;Colombia;39;4;3;1;6;3;3;3;1
Alexander Mejía Sabalsa;35;Categoria Primera A;2021;Midfielder;Santa Fe;Colombia;17;0;0;0;1;1;0;3;0
Alexis Serna Romaña;25;Categoria Primera A;2021;Midfielder;Deportes Quindío;Colombia;12;0;0;0;0;0;0;2;0
Alfonso Simarra Valdez;23;Categoria Primera A;2021;Defender;Junior;Colombia;3;0;0;0;0;0;0;1;0
Almir de Jesús Soto Maldonado;29;Categoria Primera A;2021;Midfielder;Deportivo Pasto;Colombia;20;2;1;1;0;0;0;4;0
Álvaro Anyiver Angulo Mosquera;26;Categoria Primera A;2021;Defender;Rionegro Águilas;Colombia;26;4;0;4;0;0;0;8;0
Alvaro Jacobo Martinez;20;Categoria Primera A;2021;Midfielder;Deportivo Pasto;Colombia;1;0;0;0;0;0;0;0;0
Álvaro José Meléndez Escobar;26;Categoria Primera A;2021;Forward;Atlético Bucaramanga;Colombia;38;5;3;2;4;3;1;2;0
Álvaro Montero;28;Categoria Primera A;2021;Goalkeeper;Deportes Tolima;Colombia;30;0;0;0;0;0;0;5;1
Álvaro Villete Melgar;32;Categoria Primera A;2021;Goalkeeper;Patriotas Boyacá;Uruguay;1;0;0;0;0;0;0;0;0
Amaury Torralvo Polo;29;Categoria Primera A;2021;Defender;La Equidad;Colombia;38;1;0;1;3;2;1;7;1
Anderson Daniel Plata Guillén;32;Categoria Primera A;2021;Forward;Deportes Tolima;Colombia;35;9;2;7;10;8;2;8;0
Anderson Darley Angulo Tenorio;27;Categoria Primera A;2021;Defender;Deportes Tolima;Colombia;23;2;1;1;0;0;0;5;0
Andrés Andrade;34;Categoria Primera A;2021;Midfielder;Atlético Nacional;Colombia;39;6;6;0;8;6;2;5;0
Andrés Cadavid;37;Categoria Primera A;2021;Defender;Independiente Medellín;Colombia;35;2;2;0;0;0;0;10;0
Andrés Correa Valencia;29;Categoria Primera A;2021;Defender;La Equidad;Colombia;28;0;0;0;1;0;1;11;1
Andrés Eduardo Montero Cárdenas;29;Categoria Primera A;2021;Midfielder;Deportivo Pasto;Venezuela;1;0;0;0;0;0;0;0;0
Andrés Eduardo Pérez Gutiérrez;43;Categoria Primera A;2021;Midfielder;Santa Fe;Colombia;11;0;0;0;0;0;0;4;0
Andrés Felipe Amaya Rivera;22;Categoria Primera A;2021;Midfielder;Atlético Huila;Colombia;17;0;0;0;1;0;1;4;0
Andrés Felipe Ávila Tavera;29;Categoria Primera A;2021;Defender;Patriotas Boyacá;Colombia;32;0;0;0;3;1;2;2;0
Andrés Felipe Balanta Cifuentes;23;Categoria Primera A;2021;Defender;Deportivo Cali;Colombia;32;1;0;1;0;0;0;1;0
Andrés Felipe Colorado Sánchez;24;Categoria Primera A;2021;Midfielder;Deportivo Cali;Colombia;38;4;2;2;5;3;2;6;0
Andrés Felipe Córdoba Palacios;26;Categoria Primera A;2021;Midfielder;Envigado;Colombia;20;2;2;0;0;0;0;6;0
Andrés Felipe Correa Osorio;39;Categoria Primera A;2021;Defender;Atlético Bucaramanga;Colombia;31;1;1;0;0;0;0;6;0
Andrés Felipe Morales Mosquera;23;Categoria Primera A;2021;Midfielder;Alianza Petrolera;Colombia;11;1;1;0;0;0;0;1;0
Andrés Felipe Pérez Mendoza;24;Categoria Primera A;2021;Goalkeeper;La Equidad;Colombia;1;0;0;0;0;0;0;0;0
Andrés Felipe Román;28;Categoria Primera A;2021;Defender;Millonarios;Colombia;25;4;2;2;3;3;0;5;0
Andrés Jair Rentería Morelo;30;Categoria Primera A;2021;Forward;Jaguares de Córdoba;Colombia;22;7;4;3;1;0;1;5;0
Andrés Leandro Castellanos Serrano;39;Categoria Primera A;2021;Goalkeeper;Santa Fe;Colombia;36;0;0;0;0;0;0;6;0
Andrés Llinás Montejo;26;Categoria Primera A;2021;Forward;Millonarios;Colombia;40;2;1;1;0;0;0;12;0
Andrés Luis Arroyo Romero;21;Categoria Primera A;2021;Midfielder;Deportivo Cali;Colombia;19;0;0;0;0;0;0;2;0
Andrés Mosquera;32;Categoria Primera A;2021;Goalkeeper;Independiente Medellín;Colombia;27;0;0;0;0;0;0;2;0
Andrés Murillo;27;Categoria Primera A;2021;Defender;Millonarios;Colombia;24;0;0;0;0;0;0;4;0
Andrés Rentería;22;Categoria Primera A;2021;Defender;Alianza Petrolera;Colombia;2;0;0;0;0;0;0;0;0
Andrés Sarmiento;25;Categoria Primera A;2021;Midfielder;Atlético Bucaramanga;Colombia;17;5;2;3;2;0;2;0;0
Andrey Estupiñán Quiñones;29;Categoria Primera A;2021;Midfielder;Deportes Tolima;Colombia;32;4;2;2;2;2;0;7;0
Ángelo Rodríguez;34;Categoria Primera A;2021;Forward;Deportivo Cali;Colombia;44;7;3;4;5;2;3;8;0
Anthony Blondell;29;Categoria Primera A;2021;Forward;Deportivo Pasto;Venezuela;7;3;2;1;0;0;0;2;0
Anthony Chelín Uribe Francia;32;Categoria Primera A;2021;Forward;Rionegro Águilas;Venezuela;14;0;0;0;0;0;0;0;0
Anthony Dallos;22;Categoria Primera A;2021;Forward;Independiente Medellín;Colombia;0;0;0;0;0;0;0;0;0
Anthony Vásquez Arcila;21;Categoria Primera A;2021;Forward;Rionegro Águilas;Colombia;3;0;0;0;0;0;0;0;0
Antonio Madreluis Romero Urquiola;26;Categoria Primera A;2021;Forward;Once Caldas;Venezuela;9;0;0;0;0;0;0;0;0
Arlex Fernando Hurtado Cortes;24;Categoria Primera A;2021;Forward;Atlético Huila;Colombia;23;1;0;1;2;1;1;5;0
Arley Bonilla Micolta;29;Categoria Primera A;2021;Midfielder;Patriotas Boyacá;Colombia;6;1;0;1;0;0;0;0;0
Auli Alexander Oliveros Estrada;22;Categoria Primera A;2021;Midfielder;Santa Fe;Colombia;5;0;0;0;0;0;0;0;0
Baldomero Perlaza Perlaza;31;Categoria Primera A;2021;Midfielder;Atlético Nacional;Colombia;27;7;4;3;1;1;0;4;0
Benigno Palacio;22;Categoria Primera A;2021;Forward;Rionegro Águilas;Colombia;1;0;0;0;0;0;0;0;0
Bleiner Agrón;22;Categoria Primera A;2021;Midfielder;La Equidad;Colombia;10;1;1;0;0;0;0;5;1
Boris Daniel Palacios Arco;29;Categoria Primera A;2021;Midfielder;Boyacá Chicó;Colombia;13;0;0;0;0;0;0;1;0
Brahian Palacios;20;Categoria Primera A;2021;Forward;Atlético Nacional;Colombia;0;0;0;0;0;0;0;0;0
Brayan Alexander Orozco Mesa;24;Categoria Primera A;2021;Midfielder;Atlético Huila;Colombia;0;0;0;0;0;0;0;0;0
Brayan Alexis Fernández Garcés;31;Categoria Primera A;2021;Forward;Atlético Bucaramanga;Colombia;36;9;6;3;1;1;0;8;0
Brayan Andrés Rovira Ferreira;26;Categoria Primera A;2021;Forward;Atlético Nacional;Colombia;43;1;1;0;1;1;0;7;0
Brayan Ceballos;22;Categoria Primera A;2021;Defender;Deportes Quindío;Colombia;11;1;1;0;0;0;0;4;0
Brayan Edinson Angulo Mosquera;30;Categoria Primera A;2021;Midfielder;Once Caldas;Colombia;3;0;0;0;0;0;0;0;0
Brayan Gil Hurtado;22;Categoria Primera A;2021;Forward;Alianza Petrolera;Colombia;36;4;0;4;1;1;0;1;0
Brayan Léon Muñiz;22;Categoria Primera A;2021;Midfielder;Deportivo Pereira;Colombia;27;3;2;1;3;2;1;4;1
Brayan Moreno Álvarez;24;Categoria Primera A;2021;Forward;Atlético Huila;Colombia;19;3;2;1;0;0;0;3;0
Brayan Moreno Cárdenas;25;Categoria Primera A;2021;Forward;Boyacá Chicó;Colombia;16;6;4;2;1;0;1;1;0
Brayan Stiven Cordoba Barrientos;24;Categoria Primera A;2021;Midfielder;Atlético Nacional;Colombia;13;0;0;0;0;0;0;2;0
Breiner Alexander Paz Medina;26;Categoria Primera A;2021;Defender;Millonarios;Colombia;18;0;0;0;0;0;0;2;1
Bruno Téliz Carrasco;32;Categoria Primera A;2021;Midfielder;Atlético Bucaramanga;Uruguay;31;1;0;1;2;1;1;7;2
Bryan David Castrillón Gómez;24;Categoria Primera A;2021;Forward;Deportivo Pereira;Colombia;41;8;3;5;4;1;3;4;0
Camilo Andrés Ayala Quintero;37;Categoria Primera A;2021;Midfielder;Deportivo Pasto;Colombia;29;0;0;0;0;0;0;3;0
Camilo Andrés Charris Martínez;22;Categoria Primera A;2021;Defender;Patriotas Boyacá;Colombia;2;0;0;0;0;0;0;0;0
Camilo Andrés Paternina Molina;22;Categoria Primera A;2021;Forward;Envigado;Colombia;11;0;0;0;1;0;1;1;0
Camilo Andrés Romero Jiménez;22;Categoria Primera A;2021;Goalkeeper;Millonarios;Colombia;0;0;0;0;0;0;0;0;0
Carlos Alberto Henao Sánchez;34;Categoria Primera A;2021;Defender;Atlético Bucaramanga;Colombia;24;2;1;1;0;0;0;6;0
Carlos Alberto Moreno Romaña;28;Categoria Primera A;2021;Defender;Atlético Huila;Ecuador;14;0;0;0;0;0;0;0;0
Carlos Alberto Ordóñez Esterilla;21;Categoria Primera A;2021;Defender;Envigado;Colombia;9;0;0;0;0;0;0;1;0
Carlos Alexander Mosquera Blandón;28;Categoria Primera A;2021;Goalkeeper;Patriotas Boyacá;Colombia;32;0;0;0;0;0;0;4;0
Carlos Anderson Pérez Ochoa;28;Categoria Primera A;2021;Defender;Alianza Petrolera;Colombia;39;0;0;0;0;0;0;9;0
Carlos Andrés Bejarano Palacios;38;Categoria Primera A;2021;Goalkeeper;Rionegro Águilas;Equatorial Guinea;21;0;0;0;0;0;0;3;0
Carlos Andrés Mosquera Marmolejo;29;Categoria Primera A;2021;Goalkeeper;Deportivo Pereira;Colombia;1;0;0;0;0;0;0;0;0
Carlos Daniel Hidalgo Cadenas;37;Categoria Primera A;2021;Forward;Deportivo Pasto;Colombia;16;2;1;1;0;0;0;1;0
Carlos Emiro Garcés Torres;22;Categoria Primera A;2021;Midfielder;Deportivo Pereira;Colombia;6;1;0;1;0;0;0;3;0
Carlos José Sierra López;32;Categoria Primera A;2021;Midfielder;América de Cali;Colombia;27;2;2;0;1;1;0;3;0
Carlos Manuel Cortes Barreiro;22;Categoria Primera A;2021;Forward;América de Cali;Colombia;6;0;0;0;0;0;0;0;0
Carlos Mario Arboleda Ampudia;37;Categoria Primera A;2021;Defender;La Equidad;Colombia;28;0;0;0;1;0;1;4;0
Carlos Mario Rodríguez Torres;29;Categoria Primera A;2021;Midfielder;La Equidad;Colombia;10;0;0;0;0;0;0;0;0
Carlos Ramírez;35;Categoria Primera A;2021;Defender;Deportivo Pereira;Colombia;32;3;0;3;0;0;0;4;1
Carlos Robles;31;Categoria Primera A;2021;Midfielder;Deportivo Cali;Colombia;27;1;0;1;0;0;0;6;1
Carlos Sánchez;37;Categoria Primera A;2021;Midfielder;Santa Fe;Colombia;9;1;0;1;0;0;0;2;0
Carlos Sosa;28;Categoria Primera A;2021;Midfielder;Deportes Quindío;Venezuela;10;2;1;1;0;0;0;1;0
Carlos Yesith De Las Salas Simanca;25;Categoria Primera A;2021;Defender;Patriotas Boyacá;Colombia;18;0;0;0;0;0;0;4;0
Carmelo Enrique Valencia Chaverra;39;Categoria Primera A;2021;Forward;Junior;Colombia;36;8;7;1;1;1;0;3;0
César Alexander Quintero Jiménez;34;Categoria Primera A;2021;Midfielder;Deportivo Pasto;Colombia;28;1;0;1;2;0;2;7;0
César Andrés Amaya Solano;33;Categoria Primera A;2021;Forward;Deportivo Pasto;Colombia;2;0;0;0;0;0;0;0;0
César Augusto Arias Moros;35;Categoria Primera A;2021;Forward;Rionegro Águilas;Colombia;28;5;2;3;0;0;0;7;0
César Manuel Carrillo Mejía;31;Categoria Primera A;2021;Midfielder;Jaguares de Córdoba;Colombia;15;0;0;0;0;0;0;4;0
Cesar Matheo Castaño Gómez;24;Categoria Primera A;2021;Midfielder;La Equidad;Colombia;8;0;0;0;0;0;0;1;0
Christian Alfonso Andrade Olmedo;23;Categoria Primera A;2021;Midfielder;Envigado;Colombia;1;0;0;0;0;0;0;0;0
Christian Camilo Huérfano Quintero;27;Categoria Primera A;2021;Midfielder;Patriotas Boyacá;Colombia;5;0;0;0;0;0;0;1;0
Christian Camilo Marrugo Rodríguez;38;Categoria Primera A;2021;Midfielder;Rionegro Águilas;Colombia;35;7;4;3;11;5;6;5;0
Christian Vargas Cortés;33;Categoria Primera A;2021;Goalkeeper;Millonarios;Colombia;20;0;0;0;0;0;0;1;0
Ciro Alexander Porras Ruíz;24;Categoria Primera A;2021;Midfielder;Santa Fe;Colombia;16;0;0;0;0;0;0;4;0
Cleider Leandro Alzáte Correa;35;Categoria Primera A;2021;Midfielder;Alianza Petrolera;Colombia;26;0;0;0;1;0;1;3;0
Cristhian Camilo Subero Mier;32;Categoria Primera A;2021;Midfielder;Atlético Bucaramanga;Colombia;22;0;0;0;1;1;0;4;0
Cristian Andrés Higuita Beltrán;29;Categoria Primera A;2021;Midfielder;Once Caldas;Colombia;4;0;0;0;0;0;0;1;0
Cristian Andrés Páez Ramírez;23;Categoria Primera A;2021;Forward;Boyacá Chicó;Colombia;2;0;0;0;0;0;0;0;0
Cristian Blanco;24;Categoria Primera A;2021;Midfielder;Atlético Bucaramanga;Colombia;23;1;1;0;2;1;1;4;0
Cristian Camilo Arrieta Medina;27;Categoria Primera A;2021;Defender;América de Cali;Colombia;38;0;0;0;2;1;1;6;0
Cristian Camilo Tovar Angola;25;Categoria Primera A;2021;Defender;Deportivo Pasto;Colombia;33;0;0;0;0;0;0;3;0
Cristian Castro Devenish;22;Categoria Primera A;2021;Defender;Atlético Nacional;Colombia;5;0;0;0;0;0;0;1;0
Cristian Daniel Arango Duque;28;Categoria Primera A;2021;Forward;Millonarios;Colombia;22;9;6;3;4;2;2;3;1
Cristian Darío Barrios Puerta;25;Categoria Primera A;2021;Midfielder;Patriotas Boyacá;Colombia;29;6;3;3;1;0;1;0;0
Cristian Díaz Cuero;24;Categoria Primera A;2021;Midfielder;Deportivo Pasto;Colombia;2;0;0;0;0;0;0;0;0
Cristian Estaban Trujillo Riascos;25;Categoria Primera A;2021;Midfielder;Deportes Tolima;Colombia;40;0;0;0;1;1;0;11;0
Cristian Felipe Florez García;28;Categoria Primera A;2021;Defender;Deportivo Pereira;Colombia;25;1;0;1;0;0;0;2;0
Cristian Harson Bonilla Garzón;30;Categoria Primera A;2021;Goalkeeper;La Equidad;Colombia;30;0;0;0;0;0;0;5;1
Cristian Martínez Borja;35;Categoria Primera A;2021;Forward;Junior;Colombia;16;1;1;0;2;0;2;2;0
Cristian Rodríguez Cespedes;22;Categoria Primera A;2021;Midfielder;América de Cali;Colombia;2;0;0;0;0;0;0;0;0
Dairon Mosquera Chaverra;31;Categoria Primera A;2021;Defender;Santa Fe;Colombia;33;1;1;0;3;3;0;6;0
Daniel Alejandro Hernández González;32;Categoria Primera A;2021;Midfielder;América de Cali;Colombia;2;0;0;0;0;0;0;0;0
Daniel Alejandro Suárez Piñeres;23;Categoria Primera A;2021;Goalkeeper;Atlético Bucaramanga;Colombia;0;0;0;0;0;0;0;0;0
Daniel Alexander Quiñones Navarro;24;Categoria Primera A;2021;Defender;Deportivo Pasto;Colombia;27;0;0;0;0;0;0;7;0
Daniel Andrés Luna García;20;Categoria Primera A;2021;Midfielder;Deportivo Cali;Colombia;19;1;1;0;1;0;1;1;0
Daniel Andrés Mantilla Ossa;26;Categoria Primera A;2021;Midfielder;La Equidad;Colombia;42;2;1;1;9;6;3;5;0
Daniel Eduardo Giraldo Cárdenas;31;Categoria Primera A;2021;Midfielder;Millonarios;Colombia;39;3;0;3;3;1;2;15;1
Daniel Felipe Cataño Torres;31;Categoria Primera A;2021;Midfielder;Deportes Tolima;Colombia;24;1;0;1;5;2;3;4;0
Daniel Felipe Ruiz Rivera;22;Categoria Primera A;2021;Midfielder;Millonarios;Colombia;44;4;2;2;7;2;5;3;1
Daniel José Melo Cabarcas;22;Categoria Primera A;2021;Goalkeeper;Envigado;Colombia;0;0;0;0;0;0;0;0;0
Daniel Londoño Castañeda;28;Categoria Primera A;2021;Defender;Envigado;Colombia;16;1;1;0;1;1;0;8;1
Daniel Mateo Rodas Jiménez;25;Categoria Primera A;2021;Defender;Patriotas Boyacá;Colombia;22;1;0;1;0;0;0;10;0
Daniel Moreno Mosquera;28;Categoria Primera A;2021;Forward;Deportes Tolima;Colombia;11;1;1;0;0;0;0;2;0
Daniel Restrepo Agudelo;30;Categoria Primera A;2021;Midfielder;Deportivo Pereira;Colombia;18;0;0;0;0;0;0;3;0
Daniel Rojano Gómez;26;Categoria Primera A;2021;Midfielder;Deportivo Pasto;Colombia;0;0;0;0;0;0;0;0;0
Daniel Rosero;30;Categoria Primera A;2021;Defender;Junior;Colombia;33;3;2;1;1;1;0;8;1
Dannovi Quiñonez Quiñonez;22;Categoria Primera A;2021;Forward;Once Caldas;Colombia;17;1;1;0;0;0;0;5;1
Danny Cano Sánchez;37;Categoria Primera A;2021;Defender;Deportivo Pereira;Colombia;38;4;1;3;1;1;0;7;0
Danovis Banguero;33;Categoria Primera A;2021;Midfielder;Atlético Nacional;Colombia;39;1;0;1;8;4;4;7;1
Darío Andrés Rodríguez Parra;28;Categoria Primera A;2021;Forward;Deportes Quindío;Colombia;7;0;0;0;0;0;0;0;0
Darwin Guillermo López Tobías;31;Categoria Primera A;2021;Forward;Patriotas Boyacá;Colombia;12;3;1;2;2;2;0;1;0
Darwin Johan Carrero Ortega;29;Categoria Primera A;2021;Defender;Patriotas Boyacá;Colombia;7;0;0;0;0;0;0;2;0
Darwin Zamir Andrade Marmolejo;32;Categoria Primera A;2021;Defender;Deportivo Cali;Colombia;42;0;0;0;2;0;2;10;2
David Agudelo;26;Categoria Primera A;2021;Goalkeeper;Atlético Nacional;Colombia;0;0;0;0;0;0;0;0;0
David Alejandro Gómez Rojas;35;Categoria Primera A;2021;Defender;Deportivo Pasto;Colombia;8;0;0;0;0;0;0;0;0
David Alonso Valencia Figueroa;32;Categoria Primera A;2021;Defender;Rionegro Águilas;Colombia;16;0;0;0;0;0;0;6;0
David Andrés Camacho Valencia;26;Categoria Primera A;2021;Midfielder;La Equidad;Colombia;21;2;1;1;1;1;0;1;0
David Cuperman Coifman;26;Categoria Primera A;2021;Midfielder;Alianza Petrolera;Colombia;11;0;0;0;1;0;1;1;0
David Esteban Ramírez Pïsciotti;21;Categoria Primera A;2021;Forward;Santa Fe;Colombia;0;0;0;0;0;0;0;0;0
David Fernando Lemos Cortés;27;Categoria Primera A;2021;Forward;Once Caldas;Colombia;15;6;3;3;0;0;0;0;0
David Loaiza;30;Categoria Primera A;2021;Midfielder;Independiente Medellín;Colombia;32;0;0;0;0;0;0;13;0
David Michel Acosta Márquez;35;Categoria Primera A;2021;Midfielder;Atlético Bucaramanga;Uruguay;31;3;3;0;0;0;0;11;0
David Silva;36;Categoria Primera A;2021;Midfielder;Millonarios;Colombia;42;4;2;2;9;6;3;5;0
Dayron Andrés Valencia Mosquera;24;Categoria Primera A;2021;Forward;Jaguares de Córdoba;Colombia;6;0;0;0;0;0;0;1;0
Debinson Fernando Mateus Luengas;22;Categoria Primera A;2021;Goalkeeper;Once Caldas;Colombia;0;0;0;0;0;0;0;0;0
Deiler Córdoba;23;Categoria Primera A;2021;Forward;Envigado;Colombia;1;0;0;0;0;0;0;0;0
Deiner Quiñónez;28;Categoria Primera A;2021;Midfielder;América de Cali;Colombia;31;4;1;3;10;7;3;1;0
Deivy Alexander Balanta Abonía;30;Categoria Primera A;2021;Defender;Once Caldas;Colombia;14;0;0;0;0;0;0;5;0
Delio Ramírez;22;Categoria Primera A;2021;Midfielder;Deportivo Pereira;Colombia;12;1;1;0;0;0;0;0;0
Delvin José Alfonzo Briceño;23;Categoria Primera A;2021;Forward;Boyacá Chicó;Venezuela;8;0;0;0;0;0;0;1;0
Denis Jovan Mena Zapata;27;Categoria Primera A;2021;Midfielder;Envigado;Colombia;17;0;0;0;0;0;0;6;0
