full_name;age;league;season;position;Current Club;nationality;appearances_overall;goals_overall;goals_home;goals_away;assists_overall;assists_home;assists_away;yellow_cards_overall;red_cards_overall
Abel Enrique Aguilar Tapia;37;Categoria Primera A;2017;Midfielder;Deportivo Cali;Colombia;25;0;0;0;3;3;0;12;1
Abraham Stringel Vallejo;34;Categoria Primera A;2017;Defender;Alianza Petrolera;Mexico;28;0;0;0;2;1;1;4;0
Adalberto Goiri Sandoval;34;Categoria Primera A;2017;Defender;Deportivo Pasto;Paraguay;8;0;0;0;0;0;0;0;0
Agustín Vuletich;30;Categoria Primera A;2017;Forward;Rionegro Águilas;Argentina;13;8;5;3;0;0;0;5;1
Albin Stevic Domínguez Martínez;24;Categoria Primera A;2017;Defender;Atlético Nacional;Colombia;0;0;0;0;0;0;0;0;0
Alcides Peña Jimenez;33;Categoria Primera A;2017;Forward;Atlético Bucaramanga;Bolivia;5;0;0;0;0;0;0;1;0
Aldair Quintana;28;Categoria Primera A;2017;Goalkeeper;Deportes Tolima;Colombia;0;0;0;0;0;0;0;0;0
Aldair Yesid Gutiérrez Toncel;24;Categoria Primera A;2017;Defender;Cortuluá;Colombia;0;0;0;0;0;0;0;0;0
Aldo Leao Ramírez Sierra;41;Categoria Primera A;2017;Midfielder;Atlético Nacional;Colombia;34;6;3;3;4;3;1;6;1
Alejandro Artunduaga Meneses;25;Categoria Primera A;2017;Midfielder;Atlético Huila;Colombia;2;0;0;0;0;0;0;0;0
Alejandro Bernal Ríos;34;Categoria Primera A;2017;Defender;América de Cali;Colombia;19;3;2;1;1;0;1;4;1
Alejandro García Castillo;21;Categoria Primera A;2017;Defender;Once Caldas;Colombia;0;0;0;0;0;0;0;0;0
Alejandro Peñaranda Trujillo;28;Categoria Primera A;2017;Forward;Cortuluá;Colombia;12;0;0;0;0;0;0;2;0
Alex Díaz Díaz;33;Categoria Primera A;2017;Defender;Atlético Bucaramanga;Colombia;2;0;0;0;0;0;0;0;0
Alex Stik Castro Giraldo;28;Categoria Primera A;2017;Midfielder;Deportivo Cali;Colombia;32;2;1;1;3;0;3;4;0
Alexander Gustavo Sánchez Reyes;38;Categoria Primera A;2017;Midfielder;Rionegro Águilas;Peru;9;1;0;1;1;1;0;2;0
Alexis Héctor Henríquez Charales;39;Categoria Primera A;2017;Defender;Atlético Nacional;Colombia;30;0;0;0;0;0;0;13;1
Alexis Hinestroza Estacio;34;Categoria Primera A;2017;Midfielder;Jaguares de Córdoba;Colombia;21;0;0;0;1;0;1;4;0
Alexis Rafael Pérez Fontanilla;28;Categoria Primera A;2017;Defender;Junior;Colombia;18;1;0;1;2;1;1;4;0
Alexis Zapata Álvarez;27;Categoria Primera A;2017;Midfielder;Millonarios;Colombia;8;0;0;0;0;0;0;1;0
Alí Rodolfo Reyes Vivero;29;Categoria Primera A;2017;Midfielder;Cortuluá;Colombia;18;0;0;0;1;0;1;4;0
Almir de Jesús Soto Maldonado;28;Categoria Primera A;2017;Midfielder;Santa Fe;Colombia;6;0;0;0;0;0;0;3;1
Álvaro Anyiver Angulo Mosquera;25;Categoria Primera A;2017;Defender;Rionegro Águilas;Colombia;16;0;0;0;0;0;0;7;0
Álvaro Francisco Nájera Gil;39;Categoria Primera A;2017;Defender;La Equidad;Colombia;28;2;1;1;0;0;0;4;0
Álvaro Villete Melgar;31;Categoria Primera A;2017;Goalkeeper;Patriotas Boyacá;Uruguay;38;0;0;0;2;2;0;3;0
Amaury Torralvo Polo;28;Categoria Primera A;2017;Defender;La Equidad;Colombia;8;0;0;0;0;0;0;0;0
Anderson Daniel Plata Guillén;31;Categoria Primera A;2017;Forward;Santa Fe;Colombia;33;5;1;4;2;1;1;10;0
Anderson Fabián Machado Anichiarico;24;Categoria Primera A;2017;Midfielder;Jaguares de Córdoba;Colombia;7;0;0;0;0;0;0;4;0
Anderson Fernan Zapata Diosa;37;Categoria Primera A;2017;Midfielder;América de Cali;Colombia;17;0;0;0;0;0;0;1;0
Andrés Cadavid;36;Categoria Primera A;2017;Defender;Millonarios;Colombia;40;4;3;1;1;1;0;17;0
Andrés Correa Valencia;28;Categoria Primera A;2017;Defender;La Equidad;Colombia;38;0;0;0;1;1;0;11;1
Andrés Eduardo Pérez Gutiérrez;41;Categoria Primera A;2017;Midfielder;Deportivo Cali;Colombia;36;0;0;0;0;0;0;17;0
Andrés Felipe Álvarez Gordón;29;Categoria Primera A;2017;Defender;Independiente Medellín;Colombia;10;0;0;0;0;0;0;8;1
Andrés Felipe Amaya Rivera;21;Categoria Primera A;2017;Midfielder;Atlético Huila;Colombia;8;2;1;1;0;0;0;2;0
Andrés Felipe Arboleda Hurtado;35;Categoria Primera A;2017;Defender;Jaguares de Córdoba;Colombia;5;0;0;0;0;0;0;1;0
Andrés Felipe Ávila Tavera;28;Categoria Primera A;2017;Defender;Tigres;Colombia;22;0;0;0;0;0;0;2;0
Andrés Felipe Blandón Santos;25;Categoria Primera A;2017;Goalkeeper;Once Caldas;Colombia;0;0;0;0;0;0;0;0;0
Andrés Felipe Colorado Sánchez;23;Categoria Primera A;2017;Midfielder;Cortuluá;Colombia;0;0;0;0;0;0;0;0;0
Andrés Felipe Correa Osorio;38;Categoria Primera A;2017;Defender;Atlético Huila;Colombia;34;3;1;2;0;0;0;4;0
Andrés Felipe Cuevas Aguilar;25;Categoria Primera A;2017;Goalkeeper;Once Caldas;Colombia;0;0;0;0;0;0;0;0;0
Andrés Felipe Mosquera Guardia;32;Categoria Primera A;2017;Defender;Independiente Medellín;Colombia;22;1;1;0;0;0;0;4;0
Andrés Felipe Orozco Vásquez;43;Categoria Primera A;2017;Defender;Envigado;Colombia;16;0;0;0;0;0;0;4;0
Andrés Felipe Roa Estrada;29;Categoria Primera A;2017;Midfielder;Deportivo Cali;Colombia;35;1;1;0;2;2;0;6;1
Andrés Felipe Román;26;Categoria Primera A;2017;Defender;Millonarios;Colombia;6;0;0;0;0;0;0;3;0
Andrés Ibargüen;30;Categoria Primera A;2017;Forward;Atlético Nacional;Colombia;14;3;2;1;4;3;1;1;0
Andrés Jair Rentería Morelo;29;Categoria Primera A;2017;Forward;Atlético Nacional;Colombia;15;3;2;1;0;0;0;6;0
Andrés Leandro Castellanos Serrano;38;Categoria Primera A;2017;Goalkeeper;Santa Fe;Colombia;27;0;0;0;0;0;0;3;0
Andrés Mauricio Restrepo Gómez;41;Categoria Primera A;2017;Midfielder;La Equidad;Colombia;23;2;2;0;0;0;0;5;0
Andrés Mosquera;30;Categoria Primera A;2017;Goalkeeper;Deportivo Pasto;Colombia;40;0;0;0;0;0;0;4;0
Andrés Perea;21;Categoria Primera A;2017;Midfielder;Atlético Nacional;Colombia;2;0;0;0;0;0;0;1;0
Andrés Ricaurte Vélez;30;Categoria Primera A;2017;Midfielder;Atlético Huila;Colombia;40;1;0;1;9;6;3;7;0
Andrés Sarmiento;24;Categoria Primera A;2017;Forward;Atlético Nacional;Colombia;2;0;0;0;0;0;0;0;0
Ángel José Bonilla Gutiérrez;25;Categoria Primera A;2017;Forward;Tigres;Colombia;11;0;0;0;0;0;0;2;0
Ángelo Rodríguez;33;Categoria Primera A;2017;Forward;Deportes Tolima;Colombia;28;13;10;3;4;3;1;4;0
Aníbal Gabriel Hernández De Los Santos;36;Categoria Primera A;2017;Midfielder;Atlético Huila;Uruguay;4;0;0;0;1;1;0;0;0
Anier Alfonso Figueroa Mosquera;35;Categoria Primera A;2017;Defender;Millonarios;Colombia;9;0;0;0;0;0;0;3;1
Anthony David Tapia Gil;35;Categoria Primera A;2017;Midfielder;Cortuluá;Colombia;5;0;0;0;0;0;0;1;0
Antonio Alejandro Otero Orejuéla;38;Categoria Primera A;2017;Goalkeeper;Atlético Bucaramanga;Colombia;26;0;0;0;0;0;0;2;0
Anuar Duván Hurtado Viera;33;Categoria Primera A;2017;Defender;Tigres;Colombia;2;0;0;0;0;0;0;2;0
Anyelo Ariel Mora Marquínez;23;Categoria Primera A;2017;Midfielder;América de Cali;Colombia;0;0;0;0;0;0;0;0;0
Arley Bonilla Micolta;28;Categoria Primera A;2017;Midfielder;Tigres;Colombia;12;0;0;0;0;0;0;4;0
Arley Rodríguez;29;Categoria Primera A;2017;Forward;Atlético Nacional;Colombia;21;6;3;3;0;0;0;3;0
Armando Junior Vargas Morales;33;Categoria Primera A;2017;Midfielder;Deportes Tolima;Colombia;5;0;0;0;0;0;0;1;0
Arnol Palacios Mosquera;30;Categoria Primera A;2017;Defender;América de Cali;Colombia;13;0;0;0;3;2;1;0;0
Avimiled Rivas Quintero;37;Categoria Primera A;2017;Midfielder;Deportes Tolima;Colombia;22;0;0;0;1;0;1;12;2
Ayron Del Valle Rodríguez;33;Categoria Primera A;2017;Forward;Millonarios;Colombia;40;14;9;5;6;2;4;4;0
Baldomero Perlaza Perlaza;30;Categoria Primera A;2017;Midfielder;Santa Fe;Colombia;35;3;1;2;2;0;2;4;0
Bernardo Nicolás Cuesta;33;Categoria Primera A;2017;Forward;Junior;Argentina;13;1;1;0;1;0;1;1;0
Bismar Córdoba Marín;29;Categoria Primera A;2017;Midfielder;Deportes Tolima;Colombia;0;0;0;0;0;0;0;0;0
Brahyan Camilo Gómez Soto;25;Categoria Primera A;2017;Goalkeeper;Rionegro Águilas;Colombia;0;0;0;0;0;0;0;0;0
Brahyan Stiven Rivas Asprilla;25;Categoria Primera A;2017;Midfielder;Atlético Huila;Colombia;6;0;0;0;0;0;0;1;0
Brayan Alexis Fernández Garcés;30;Categoria Primera A;2017;Forward;Cortuluá;Colombia;22;5;1;4;0;0;0;8;0
Brayan Andrés Rovira Ferreira;25;Categoria Primera A;2017;Forward;Atlético Bucaramanga;Colombia;33;1;0;1;0;0;0;6;0
Brayan Damián Lucumí Lucumí;28;Categoria Primera A;2017;Midfielder;Deportivo Pasto;Colombia;10;0;0;0;1;1;0;1;0
Brayan Edinson Angulo Mosquera;29;Categoria Primera A;2017;Midfielder;América de Cali;Colombia;33;1;0;1;2;2;0;3;0
Brayan Esteban Silva Pinto;25;Categoria Primera A;2017;Goalkeeper;Millonarios;Colombia;0;0;0;0;0;0;0;0;0
Brayner Jesús De Alba Castro;29;Categoria Primera A;2017;Midfielder;La Equidad;Colombia;19;1;1;0;2;1;1;2;0
Breidy Golú Peña;24;Categoria Primera A;2017;Forward;América de Cali;Colombia;0;0;0;0;0;0;0;0;0
Bréiner Clemente Castillo Caicedo;44;Categoria Primera A;2017;Goalkeeper;Atlético Huila;Colombia;34;0;0;0;0;0;0;2;0
Camilo Alejandro Bastidas Villota;24;Categoria Primera A;2017;Defender;Deportivo Pasto;Colombia;1;0;0;0;0;0;0;0;0
Camilo Andrés Ayala Quintero;36;Categoria Primera A;2017;Midfielder;América de Cali;Colombia;31;0;0;0;0;0;0;8;1
Camilo Andrés Ceballos Zapata;38;Categoria Primera A;2017;Defender;Rionegro Águilas;Colombia;2;0;0;0;0;0;0;2;0
Camilo Andrés Vargas Gil;33;Categoria Primera A;2017;Goalkeeper;Atlético Nacional;Colombia;21;0;0;0;0;0;0;4;0
Camilo Javier Mancilla Valencia;29;Categoria Primera A;2017;Defender;La Equidad;Colombia;19;1;1;0;0;0;0;6;0
Camilo José Triana Fragoso;25;Categoria Primera A;2017;Forward;Once Caldas;Colombia;1;0;0;0;0;0;0;0;0
Camilo Velázquez Franco;24;Categoria Primera A;2017;Midfielder;Envigado;Colombia;20;2;2;0;1;0;1;0;0
Carlos Alberto Giraldo Quiroga;42;Categoria Primera A;2017;Midfielder;Deportivo Pasto;Colombia;35;0;0;0;0;0;0;16;0
Carlos Alberto Henao Sánchez;33;Categoria Primera A;2017;Defender;Santa Fe;Colombia;14;1;0;1;0;0;0;5;0
Carlos Alberto Ibargüen Hinojosa;26;Categoria Primera A;2017;Forward;Cortuluá;Colombia;11;2;1;1;0;0;0;4;2
Carlos Alberto Riascos Guazá;28;Categoria Primera A;2017;Defender;Alianza Petrolera;Colombia;11;0;0;0;0;0;0;3;0
Carlos Alberto Valencia Paredes;33;Categoria Primera A;2017;Defender;Atlético Bucaramanga;Colombia;4;0;0;0;0;0;0;0;0
Carlos Alexander Mosquera Blandón;27;Categoria Primera A;2017;Goalkeeper;Tigres;Colombia;3;0;0;0;0;0;0;0;0
Carlos Andrés Bejarano Palacios;37;Categoria Primera A;2017;Goalkeeper;América de Cali;Equatorial Guinea;44;0;0;0;0;0;0;6;0
Carlos Andrés Castillo Riascos;24;Categoria Primera A;2017;Midfielder;Cortuluá;Colombia;0;0;0;0;0;0;0;0;0
Carlos Andrés Lasso Lucumí;34;Categoria Primera A;2017;Defender;Tigres;Colombia;20;0;0;0;0;0;0;5;2
Carlos Andrés Mosquera Marmolejo;27;Categoria Primera A;2017;Goalkeeper;Tigres;Colombia;0;0;0;0;0;0;0;0;0
