full_name;age;league;season;position;Current Club;nationality;appearances_overall;goals_overall;goals_home;goals_away;assists_overall;assists_home;assists_away;yellow_cards_overall;red_cards_overall
Aldair Lasso Mulato;31;Categoria Primera A;2013;Defender;Patriotas Boyacá;Colombia;5;0;0;0;0;0;0;0;0
Aldair Murillo Sanmartín;32;Categoria Primera A;2013;Forward;Deportes Quindío;Colombia;16;2;0;2;0;0;0;0;0
Alejandro Bernal Ríos;34;Categoria Primera A;2013;Defender;Atlético Nacional;Colombia;34;1;0;1;0;0;0;10;0
Alejandro Peñaranda Trujillo;28;Categoria Primera A;2013;Forward;Atlético Nacional;Colombia;1;0;0;0;0;0;0;0;0
Alex Díaz Díaz;33;Categoria Primera A;2013;Defender;Millonarios;Colombia;17;0;0;0;0;0;0;3;1
Alex Stik Castro Giraldo;28;Categoria Primera A;2013;Midfielder;Alianza Petrolera;Colombia;4;0;0;0;0;0;0;0;0
Alexander Felipe Arrieta Hernández;29;Categoria Primera A;2013;Midfielder;Boyacá Chicó;Colombia;3;0;0;0;0;0;0;2;0
Alexander Leonel Corro;34;Categoria Primera A;2013;Midfielder;Deportes Quindío;Argentina;8;0;0;0;0;0;0;3;0
Alexander Mejía Sabalsa;34;Categoria Primera A;2013;Midfielder;Atlético Nacional;Colombia;36;0;0;0;0;0;0;13;0
Alexis Héctor Henríquez Charales;39;Categoria Primera A;2013;Defender;Atlético Nacional;Colombia;33;1;1;0;0;0;0;16;0
Alexis Muñoz Osorio;29;Categoria Primera A;2013;Forward;Boyacá Chicó;Colombia;3;1;1;0;0;0;0;1;0
Alexis Zapata Álvarez;27;Categoria Primera A;2013;Midfielder;Envigado;Colombia;15;2;1;1;0;0;0;2;0
Alfonso Ignacio López Berrío;26;Categoria Primera A;2013;Midfielder;Atlético Nacional;Colombia;1;0;0;0;0;0;0;0;0
Álvaro Francisco Nájera Gil;39;Categoria Primera A;2013;Defender;Atlético Nacional;Colombia;32;6;3;3;0;0;0;10;0
Álvaro Javier Hungría Rosero;30;Categoria Primera A;2013;Defender;Once Caldas;Colombia;4;0;0;0;0;0;0;1;0
Álvaro José Barros Carmona;35;Categoria Primera A;2013;Forward;Deportivo Pasto;Colombia;2;0;0;0;0;0;0;0;0
Álvaro José Domínguez Cabezas;41;Categoria Primera A;2013;Midfielder;Deportivo Cali;Colombia;21;1;1;0;0;0;0;5;0
