common_name;season;matches_played;matches_played_home;matches_played_away;wins;wins_home;wins_away;draws;draws_home;draws_away;losses;losses_home;losses_away;league_position;goals_scored;goals_conceded;goal_difference;total_goal_count;corners_total;corners_total_home;corners_total_away;cards_total;cards_total_home;cards_total_away
Junior;2018;46;23;23;20;15;5;14;5;9;12;3;9;6;63;43;20;106;231;124;107;117;46;71
Deportivo Cali;2018;40;20;20;18;15;3;7;1;6;15;4;11;10;46;34;12;80;203;129;74;144;65;79
Santa Fe;2018;40;20;20;16;10;6;11;4;7;13;6;7;8;49;34;15;83;197;122;75;141;58;83
Atlético Huila;2018;42;21;21;13;10;3;13;5;8;16;6;10;17;34;35;-1;69;153;81;72;113;49;64
Once Caldas;2018;42;21;21;19;15;4;10;3;7;13;3;10;2;53;47;6;100;176;96;80;135;57;78
Millonarios;2018;38;19;19;13;7;6;12;9;3;13;3;10;11;42;41;1;83;216;116;100;120;55;65
Independiente Medellín;2018;48;24;24;25;16;9;11;7;4;12;1;11;5;76;54;22;130;188;109;79;140;68;72
Atlético Bucaramanga;2018;40;20;20;18;10;8;7;4;3;15;6;9;4;49;47;2;96;173;118;55;116;50;66
Deportes Tolima;2018;48;24;24;25;15;10;10;3;7;13;6;7;1;66;46;20;112;240;139;101;132;65;67
América de Cali;2018;38;19;19;12;9;3;11;6;5;15;4;11;12;41;51;-10;92;238;132;106;131;66;65
Atlético Nacional;2018;44;22;22;22;14;8;13;5;8;9;3;6;9;54;33;21;87;259;158;101;119;54;65
Deportivo Pasto;2018;38;19;19;8;6;2;11;8;3;19;5;14;18;26;40;-14;66;188;115;73;112;49;63
Patriotas Boyacá;2018;40;20;20;13;10;3;12;6;6;15;4;11;14;35;45;-10;80;132;75;57;110;55;55
Envigado;2018;38;19;19;12;7;5;10;6;4;16;6;10;13;39;47;-8;86;148;86;62;109;50;59
Alianza Petrolera;2018;38;19;19;12;11;1;6;2;4;20;6;14;16;46;59;-13;105;197;122;75;128;72;56
Rionegro Águilas;2018;42;21;21;16;11;5;14;5;9;12;5;7;7;44;46;-2;90;186;116;70;134;66;68
La Equidad;2018;40;20;20;17;10;7;11;7;4;12;3;9;3;41;31;10;72;180;91;89;99;48;51
Jaguares de Córdoba;2018;38;19;19;10;7;3;9;5;4;19;7;12;19;29;52;-23;81;134;56;78;96;54;42
Boyacá Chicó;2018;38;19;19;9;7;2;9;8;1;20;4;16;15;35;60;-25;95;162;105;57;128;64;64
Leones;2018;38;19;19;3;2;1;13;8;5;22;9;13;20;28;51;-23;79;130;67;63;91;41;50
