common_name;season;matches_played;matches_played_home;matches_played_away;wins;wins_home;wins_away;draws;draws_home;draws_away;losses;losses_home;losses_away;league_position;goals_scored;goals_conceded;goal_difference;total_goal_count;corners_total;corners_total_home;corners_total_away;cards_total;cards_total_home;cards_total_away
Junior;2013;42;21;21;17;11;6;11;5;6;14;5;9;2;63;56;7;119;108;67;41;138;64;74
Deportivo Cali;2013;50;25;25;20;11;9;21;12;9;9;2;7;1;72;50;22;122;160;89;71;149;80;69
Santa Fe;2013;50;25;25;21;14;7;16;5;11;13;6;7;3;70;60;10;130;147;92;55;193;94;99
Atlético Huila;2013;36;18;18;9;7;2;13;9;4;14;2;12;14;43;53;-10;96;68;36;32;129;57;72
Once Caldas;2013;48;24;24;18;11;7;12;6;6;18;7;11;3;63;56;7;119;157;89;68;130;60;70
Millonarios;2013;48;24;24;21;16;5;12;3;9;15;5;10;4;73;56;17;129;174;103;71;134;46;88
Independiente Medellín;2013;36;18;18;12;8;4;11;7;4;13;3;10;9;42;37;5;79;89;51;38;120;46;74
Deportes Tolima;2013;42;21;21;14;11;3;16;7;9;12;3;9;13;58;53;5;111;158;85;73;128;57;71
Atlético Nacional;2013;52;26;26;29;16;13;16;7;9;7;3;4;1;84;46;38;130;177;98;79;159;76;83
Deportivo Pasto;2013;48;24;24;17;13;4;18;9;9;13;2;11;2;62;66;-4;128;139;81;58;156;79;77
Patriotas Boyacá;2013;36;18;18;5;4;1;19;11;8;12;3;9;11;31;43;-12;74;82;43;39;98;52;46
Envigado;2013;36;18;18;9;5;4;12;7;5;15;6;9;12;32;47;-15;79;92;49;43;139;63;76
Alianza Petrolera;2013;36;18;18;9;4;5;11;6;5;16;8;8;15;33;52;-19;85;102;64;38;133;68;65
Rionegro Águilas;2013;48;24;24;20;10;10;10;4;6;18;10;8;4;61;60;1;121;162;103;59;179;77;102
La Equidad;2013;36;18;18;10;8;2;15;8;7;11;2;9;10;40;36;4;76;74;34;40;117;50;67
Boyacá Chicó;2013;36;18;18;7;5;2;13;7;6;16;6;10;17;48;60;-12;108;104;72;32;118;50;68
Cúcuta Deportivo;2013;36;18;18;10;5;5;9;4;5;17;9;8;16;42;47;-5;89;74;47;27;134;62;72
Deportes Quindío;2013;36;18;18;6;4;2;9;5;4;21;9;12;18;18;57;-39;75;84;56;28;101;46;55
