full_name;age;league;season;position;Current Club;nationality;appearances_overall;goals_overall;goals_home;goals_away;assists_overall;assists_home;assists_away;yellow_cards_overall;red_cards_overall
Juan Sebastian Palma Micolta;24;Categoria Primera A;2022;Midfielder;Once Caldas;Colombia;4;0;0;0;0;0;0;2;0
Juan Sebastián Pedroza Perdomo;24;Categoria Primera A;2022;Forward;Santa Fe;Colombia;20;1;1;0;5;4;1;8;1
Juan Sebastián Peñaloza Ragga;23;Categoria Primera A;2022;Forward;Deportivo Pereira;Colombia;14;0;0;0;0;0;0;3;0
Juan Tegue;23;Categoria Primera A;2022;Forward;Envigado;Colombia;18;0;0;0;1;1;0;3;1
Juan Torres;19;Categoria Primera A;2022;Defender;Atlético Nacional;Colombia;1;0;0;0;0;0;0;0;0
Juan Zuluaga;30;Categoria Primera A;2022;Defender;Deportivo Pereira;Colombia;36;0;0;0;1;0;1;8;0
Julián Alveiro Quiñónes García;33;Categoria Primera A;2022;Defender;Deportes Tolima;Colombia;27;1;1;0;1;0;1;8;2
Julián Camilo Millán Díaz;25;Categoria Primera A;2022;Midfielder;Cortuluá;Colombia;38;2;1;1;0;0;0;3;0
Julián Esteban Zea Macca;24;Categoria Primera A;2022;Forward;Alianza Petrolera;Colombia;1;0;0;0;0;0;0;1;0
Julián Palacio;20;Categoria Primera A;2022;Midfielder;Envigado;Colombia;9;0;0;0;0;0;0;2;0
Junior Alexis Hernández Angulo;24;Categoria Primera A;2022;Forward;Deportes Tolima;Colombia;37;3;1;2;5;2;3;6;0
Kalazan José Suárez Díaz;21;Categoria Primera A;2022;Midfielder;Cortuluá;Colombia;7;0;0;0;0;0;0;3;1
Kener Valencia;21;Categoria Primera A;2022;Midfielder;Cortuluá;Colombia;31;2;2;0;2;0;2;2;0
Kevin Alexander Londoño Asprilla;29;Categoria Primera A;2022;Midfielder;Alianza Petrolera;Colombia;36;6;3;3;5;4;1;7;1
Kevin Andrés Lugo Iriarte;25;Categoria Primera A;2022;Defender;Deportivo Pereira;Colombia;16;1;0;1;0;0;0;2;0
Kevin Andrés Mantilla Camargo;20;Categoria Primera A;2022;Midfielder;Santa Fe;Colombia;25;0;0;0;1;0;1;4;1
Kevin Andrés Salazar Sandoval;25;Categoria Primera A;2022;Midfielder;Deportivo Cali;Colombia;9;0;0;0;0;0;0;3;1
Kevin Andrés Velasco Bonilla;26;Categoria Primera A;2022;Defender;Deportivo Cali;Colombia;30;7;5;2;4;4;0;6;0
Kevin David Salazar Chiquiza;27;Categoria Primera A;2022;Midfielder;La Equidad;Colombia;17;3;3;0;2;0;2;2;0
Kevin Duvan Castaño Gil;23;Categoria Primera A;2022;Midfielder;Rionegro Águilas;Colombia;35;0;0;0;1;1;0;8;0
Kevin Javier Padilla Madrid;22;Categoria Primera A;2022;Midfielder;Jaguares de Córdoba;Colombia;10;0;0;0;0;0;0;0;0
Kevin Joacid Moreno Sinisterra;23;Categoria Primera A;2022;Defender;Deportivo Cali;Colombia;8;0;0;0;0;0;0;3;1
Kevin Lopez;20;Categoria Primera A;2022;Goalkeeper;Deportivo Pasto;Colombia;0;0;0;0;0;0;0;0;0
Kevin Mier;23;Categoria Primera A;2022;Goalkeeper;Atlético Nacional;Colombia;41;0;0;0;0;0;0;6;1
Kevin Miguel Palacios Mosquera;20;Categoria Primera A;2022;Midfielder;Deportivo Pereira;Colombia;1;0;0;0;0;0;0;0;0
Kevin Orlando Andrade Murillo;24;Categoria Primera A;2022;Defender;América de Cali;Colombia;20;1;1;0;0;0;0;5;0
Kevin Palacios;23;Categoria Primera A;2022;Midfielder;Cortuluá;Colombia;26;0;0;0;1;1;0;3;0
Kevin Parra Atehortúa;20;Categoria Primera A;2022;Midfielder;Atlético Nacional;Colombia;3;0;0;0;0;0;0;1;0
Kevin Pérez;26;Categoria Primera A;2022;Midfielder;Deportes Tolima;Colombia;36;2;1;1;4;4;0;1;0
Kevin Stuar Riascos Segura;28;Categoria Primera A;2022;Defender;Deportivo Pasto;Colombia;37;1;1;0;0;0;0;8;0
Kilian David Toscano Bassa;19;Categoria Primera A;2022;Forward;Atlético Nacional;Colombia;1;0;0;0;0;0;0;0;0
Kleimar Andres Mosquera Murillo;23;Categoria Primera A;2022;Defender;Jaguares de Córdoba;Colombia;2;0;0;0;0;0;0;0;0
Kleyverson Steven Viloria de Las Salas;21;Categoria Primera A;2022;Midfielder;Atlético Bucaramanga;Colombia;0;0;0;0;0;0;0;0;0
Kliver Moreno;23;Categoria Primera A;2022;Defender;Millonarios;Colombia;0;0;0;0;0;0;0;0;0
Larry Angulo;28;Categoria Primera A;2022;Midfielder;América de Cali;Colombia;14;1;1;0;1;0;1;6;2
Larry Vásquez Ortega;31;Categoria Primera A;2022;Midfielder;Millonarios;Colombia;43;1;0;1;3;2;1;8;0
Léider Andrés Riascos Suárez;23;Categoria Primera A;2022;Defender;Deportes Tolima;Colombia;13;0;0;0;1;0;1;3;0
Léider Iván Berrío Peña;25;Categoria Primera A;2022;Midfielder;Deportivo Pereira;Colombia;32;6;3;3;3;2;1;10;0
Léiner de Jesús Escalante Escorcia;31;Categoria Primera A;2022;Midfielder;Deportivo Pasto;Colombia;33;5;2;3;2;2;0;6;0
Leonardo Castro;31;Categoria Primera A;2022;Forward;Deportivo Pereira;Colombia;42;24;10;14;5;4;1;16;0
Leonardo Enrique Saldaña Carvajal;33;Categoria Primera A;2022;Defender;Alianza Petrolera;Colombia;31;2;1;1;2;1;1;4;1
Leonardo José Flores Soto;28;Categoria Primera A;2022;Midfielder;Patriotas Boyacá;Venezuela;23;0;0;0;1;1;0;5;0
Lewis Adrián Sinisterra Grueso;21;Categoria Primera A;2022;Midfielder;Cortuluá;Colombia;12;0;0;0;0;0;0;0;0
Leyder Moran;18;Categoria Primera A;2022;Midfielder;Once Caldas;Colombia;0;0;0;0;0;0;0;0;0
Leyvin Jhojane Balanta Fory;33;Categoria Primera A;2022;Defender;Once Caldas;Colombia;11;0;0;0;0;0;0;2;0
Luciano Alejandro Ospina Londoño;32;Categoria Primera A;2022;Defender;Alianza Petrolera;Colombia;20;1;1;0;0;0;0;7;0
Luciano Daniel Pons;33;Categoria Primera A;2022;Forward;Independiente Medellín;Argentina;49;17;10;7;3;2;1;10;1
Luis Alberto López Moreno;24;Categoria Primera A;2022;Midfielder;Deportivo Pereira;Colombia;0;0;0;0;0;0;0;0;0
Luis Alejandro Paz Mulato;35;Categoria Primera A;2022;Midfielder;América de Cali;Colombia;15;0;0;0;0;0;0;1;0
Luis Alfonso Hurtado Osorio;29;Categoria Primera A;2022;Goalkeeper;Patriotas Boyacá;Colombia;16;0;0;0;0;0;0;1;0
Luis Ángel Díaz Cuesta;19;Categoria Primera A;2022;Midfielder;Envigado;Colombia;1;0;0;0;0;0;0;0;0
Luis Caicedo;27;Categoria Primera A;2022;Midfielder;Cortuluá;Colombia;36;0;0;0;0;0;0;10;0
Luis Carlos Ruiz Morales;36;Categoria Primera A;2022;Forward;Millonarios;Colombia;42;16;7;9;4;2;2;1;0
Luis Carlos Segura García;19;Categoria Primera A;2022;Midfielder;Atlético Nacional;Colombia;1;0;0;0;0;0;0;0;0
Luis Daniel González Cova;32;Categoria Primera A;2022;Forward;Junior;Venezuela;36;12;9;3;2;2;0;4;0
Luis David Quintero Zúñiga;25;Categoria Primera A;2022;Goalkeeper;América de Cali;Colombia;0;0;0;0;0;0;0;0;0
Luis Díaz;19;Categoria Primera A;2022;Forward;Envigado;Colombia;4;0;0;0;0;0;0;1;0
Luis Felipe Mosquera Paredes;21;Categoria Primera A;2022;Forward;América de Cali;Colombia;4;0;0;0;0;0;0;1;0
Luis Felipe Pérez Valencia;27;Categoria Primera A;2022;Midfielder;Patriotas Boyacá;Colombia;31;1;0;1;3;0;3;5;0
Luis Fernando Miranda Molinares;26;Categoria Primera A;2022;Forward;Deportes Tolima;Colombia;37;5;0;5;3;3;0;3;0
Luis Fernando Sandoval Oyola;24;Categoria Primera A;2022;Midfielder;Rionegro Águilas;Colombia;7;0;0;0;0;0;0;1;0
Luis Francisco Sánchez Mosquera;23;Categoria Primera A;2022;Defender;América de Cali;Colombia;6;1;1;0;0;0;0;1;0
Luis Marquinez;20;Categoria Primera A;2022;Goalkeeper;Atlético Nacional;Colombia;3;0;0;0;0;0;0;0;0
Luis Miguel Angulo Sevillano;19;Categoria Primera A;2022;Midfielder;Alianza Petrolera;Colombia;27;1;1;0;1;1;0;4;0
Luis Miguel Payares Blanco;33;Categoria Primera A;2022;Defender;Patriotas Boyacá;Colombia;25;0;0;0;0;0;0;4;0
Luis Vásquez;27;Categoria Primera A;2022;Goalkeeper;Independiente Medellín;Colombia;10;0;0;0;0;0;0;2;0
Maicol Balanta Peña;33;Categoria Primera A;2022;Forward;Jaguares de Córdoba;Colombia;15;0;0;0;0;0;0;4;0
Maicol Medina;26;Categoria Primera A;2022;Forward;Deportivo Pereira;Colombia;44;0;0;0;0;0;0;8;0
Maikoll Andrés Herrera Casseres;21;Categoria Primera A;2022;Midfielder;Cortuluá;Colombia;9;0;0;0;0;0;0;1;0
Manuel Gardani Arias Arias;25;Categoria Primera A;2022;Goalkeeper;Cortuluá;Colombia;1;0;0;0;0;0;0;1;0
Marcelino Jr Carreazo Betin;24;Categoria Primera A;2022;Midfielder;Once Caldas;Venezuela;16;3;3;0;1;1;0;6;1
Marcílio Silva de Lima;23;Categoria Primera A;2022;Forward;Patriotas Boyacá;Brazil;13;1;1;0;0;0;0;0;0
Marco Jhonnier Pérez Murillo;33;Categoria Primera A;2022;Forward;Rionegro Águilas;Colombia;35;14;9;5;1;1;0;5;0
Mariano Vázquez;30;Categoria Primera A;2022;Midfielder;Deportivo Pasto;Argentina;33;3;2;1;10;6;4;10;1
Marlon Aldair Torres Obeso;27;Categoria Primera A;2022;Defender;América de Cali;Colombia;19;2;0;2;1;0;1;5;0
Marlon Javier Piedrahita Londoño;38;Categoria Primera A;2022;Defender;Once Caldas;Colombia;37;2;0;2;5;3;2;10;0
Mateo Cano Mejía;26;Categoria Primera A;2022;Midfielder;Atlético Bucaramanga;Colombia;4;0;0;0;0;0;0;2;0
Mateo García Rojas;25;Categoria Primera A;2022;Midfielder;Unión Magdalena;Colombia;6;0;0;0;0;0;0;1;0
Mateo Puerta Peláez;26;Categoria Primera A;2022;Defender;Rionegro Águilas;Colombia;36;2;2;0;2;1;1;12;0
Matias Escobar;20;Categoria Primera A;2022;Goalkeeper;Patriotas Boyacá;Colombia;1;0;0;0;0;0;0;0;0
Mauricio Castaño Grisales;30;Categoria Primera A;2022;Midfielder;Jaguares de Córdoba;Colombia;38;2;2;0;1;0;1;7;0
Mauricio Gonzalez;19;Categoria Primera A;2022;Forward;Cortuluá;Colombia;2;0;0;0;0;0;0;0;0
Mayer Andrés Gil Hurtado;20;Categoria Primera A;2022;Midfielder;Alianza Petrolera;El Salvador;1;0;0;0;0;0;0;1;0
Mayer Eduardo Vidal Prado;23;Categoria Primera A;2022;Forward;Patriotas Boyacá;Colombia;7;0;0;0;0;0;0;0;0
Ménder García;24;Categoria Primera A;2022;Forward;Once Caldas;Colombia;18;5;3;2;1;1;0;3;1
Michael Ortega;32;Categoria Primera A;2022;Midfielder;Deportivo Cali;Colombia;14;0;0;0;1;0;1;4;0
Michael Rangel;32;Categoria Primera A;2022;Forward;Deportes Tolima;Colombia;31;7;7;0;2;2;0;4;2
Miguel Ángel Nazarit Mina;26;Categoria Primera A;2022;Defender;Deportivo Cali;Colombia;4;0;0;0;0;0;0;3;1
Miguel Ángel Sánchez Tabares;21;Categoria Primera A;2022;Goalkeeper;Deportivo Cali;Colombia;6;0;0;0;0;0;0;2;0
Miguel Borja;30;Categoria Primera A;2022;Forward;Junior;Colombia;17;10;8;2;0;0;0;6;0
Miguel Monsalve;19;Categoria Primera A;2022;Midfielder;Independiente Medellín;Colombia;9;1;1;0;0;0;0;2;0
Miguel Sandoval;20;Categoria Primera A;2022;Midfielder;Deportes Tolima;Colombia;1;0;0;0;0;0;0;0;0
Nahuel Ezequiel Gallardo;25;Categoria Primera A;2022;Defender;Once Caldas;Argentina;8;0;0;0;0;0;0;3;0
Neider Barona Solis;26;Categoria Primera A;2022;Forward;La Equidad;Colombia;0;0;0;0;0;0;0;0;0
Nelino José Tapia Gil;32;Categoria Primera A;2022;Defender;Jaguares de Córdoba;Colombia;28;0;0;0;2;0;2;4;0
Nelson Deossa;23;Categoria Primera A;2022;Midfielder;Junior;Colombia;17;2;1;1;0;0;0;1;0
Nelson Palacio Ruiz;22;Categoria Primera A;2022;Midfielder;Atlético Nacional;Colombia;37;1;1;0;1;1;0;4;1
Nelson Quiñones;21;Categoria Primera A;2022;Midfielder;Once Caldas;Colombia;18;0;0;0;0;0;0;1;0
Neyder Stiven Moreno Betancur;26;Categoria Primera A;2022;Midfielder;Santa Fe;Colombia;36;6;2;4;6;1;5;4;0
Nicolás Andrés Giraldo Urueta;30;Categoria Primera A;2022;Midfielder;América de Cali;Colombia;37;0;0;0;1;1;0;7;1
Nicolás Gil Uribe;26;Categoria Primera A;2022;Midfielder;Unión Magdalena;Colombia;15;1;0;1;0;0;0;3;1
Nicolás Lara Vásquez;20;Categoria Primera A;2022;Defender;Rionegro Águilas;Colombia;7;0;0;0;0;0;0;2;0
Nicolás Palacios Vidal;31;Categoria Primera A;2022;Defender;La Equidad;Colombia;14;0;0;0;0;0;0;3;0
Nilson David Castrillón Burbano;27;Categoria Primera A;2022;Midfielder;Junior;Colombia;24;0;0;0;1;1;0;6;0
Ober Yesid Almanza Sehuanes;20;Categoria Primera A;2022;Midfielder;Santa Fe;Colombia;2;0;0;0;0;0;0;0;0
Omar Antonio Albornoz Contreras;28;Categoria Primera A;2022;Defender;Junior;Colombia;25;1;0;1;1;1;0;0;0
Omar Bertel;27;Categoria Primera A;2022;Defender;Millonarios;Colombia;40;1;1;0;1;1;0;3;0
Onel Jhosep Acosta Barrera;23;Categoria Primera A;2022;Forward;Deportivo Cali;Colombia;3;0;0;0;0;0;0;3;0
Orlando Enrique Berrío Meléndez;32;Categoria Primera A;2022;Forward;Rionegro Águilas;Colombia;14;1;0;1;0;0;0;2;1
Óscar Alberto Alcocer Castro;23;Categoria Primera A;2022;Midfielder;Atlético Bucaramanga;Colombia;1;0;0;0;0;0;0;0;0
Oscar Javier Hernández Niño;30;Categoria Primera A;2022;Midfielder;Rionegro Águilas;Venezuela;6;0;0;0;0;0;0;1;0
Óscar Javier Méndez Albornoz;28;Categoria Primera A;2022;Midfielder;Independiente Medellín;Uruguay;30;1;1;0;0;0;0;4;0
Oscar Manuel Cortés Cortés;19;Categoria Primera A;2022;Midfielder;Millonarios;Colombia;8;0;0;0;2;0;2;0;0
Oscar Perea;18;Categoria Primera A;2022;Forward;Atlético Nacional;Colombia;1;0;0;0;0;0;0;0;0
Oscar Vallecilla;21;Categoria Primera A;2022;Defender;Deportes Tolima;Colombia;1;0;0;0;0;0;0;0;0
Óscar Vanegas;27;Categoria Primera A;2022;Defender;Millonarios;Colombia;12;0;0;0;0;0;0;1;0
Oswaldo José Henríquez Bocanegra;34;Categoria Primera A;2022;Defender;Rionegro Águilas;Colombia;15;0;0;0;0;0;0;4;0
Pablo Andrés Mina Ramírez;38;Categoria Primera A;2022;Goalkeeper;Jaguares de Córdoba;Colombia;10;0;0;0;0;0;0;1;0
Pablo José Rojas Cardales;32;Categoria Primera A;2022;Forward;Jaguares de Córdoba;Colombia;26;8;2;6;4;3;1;7;1
Pablo Lima Gualco;33;Categoria Primera A;2022;Midfielder;La Equidad;Uruguay;45;6;3;3;4;3;1;12;0
Pablo Ortíz;23;Categoria Primera A;2022;Defender;América de Cali;Colombia;2;0;0;0;0;0;0;1;0
Pablo Sabbag;26;Categoria Primera A;2022;Forward;La Equidad;Colombia;44;15;8;7;6;2;4;10;1
Pablo Sebastián Bueno;33;Categoria Primera A;2022;Forward;Alianza Petrolera;Argentina;14;2;1;1;0;0;0;0;0
Pedro Ángel Valoyes Rojano;25;Categoria Primera A;2022;Defender;Deportivo Pasto;Colombia;3;0;0;0;0;0;0;0;0
Pedro Antonio Bravo Landazuri;18;Categoria Primera A;2022;Midfielder;América de Cali;Colombia;2;0;0;0;0;0;0;0;0
Pier Luigi Grazziani Serrano;29;Categoria Primera A;2022;Goalkeeper;Alianza Petrolera;Colombia;4;0;0;0;0;0;0;1;0
Quentin Danloux;21;Categoria Primera A;2022;Midfielder;Patriotas Boyacá;France;13;1;0;1;0;0;0;1;1
