full_name;age;league;season;position;Current Club;nationality;appearances_overall;goals_overall;goals_home;goals_away;assists_overall;assists_home;assists_away;yellow_cards_overall;red_cards_overall
Abel Andrés Quintero Ortíz;27;Categoria Primera A;2014;Forward;Uniautónoma;Colombia;1;0;0;0;0;0;0;0;0
Alan Ferney Navarro Espinosa;33;Categoria Primera A;2014;Midfielder;Uniautónoma;Colombia;25;7;5;2;0;0;0;10;0
Alberto Andrés Pardo Zapata;26;Categoria Primera A;2014;Midfielder;Uniautónoma;Colombia;1;0;0;0;0;0;0;0;0
Aldair Lasso Mulato;31;Categoria Primera A;2014;Defender;Patriotas Boyacá;Colombia;12;0;0;0;0;0;0;0;0
Alejandro Abraham Guerra Morales;37;Categoria Primera A;2014;Midfielder;Atlético Nacional;Venezuela;10;1;0;1;0;0;0;0;0
Alejandro Bernal Ríos;34;Categoria Primera A;2014;Defender;Atlético Nacional;Colombia;24;1;0;1;0;0;0;7;0
Alex Díaz Díaz;33;Categoria Primera A;2014;Defender;Millonarios;Colombia;26;1;1;0;0;0;0;8;0
Alex Stik Castro Giraldo;28;Categoria Primera A;2014;Midfielder;Alianza Petrolera;Colombia;12;0;0;0;0;0;0;0;0
Alexander Mejía Sabalsa;34;Categoria Primera A;2014;Midfielder;Atlético Nacional;Colombia;19;0;0;0;0;0;0;9;0
Alexis Héctor Henríquez Charales;39;Categoria Primera A;2014;Defender;Atlético Nacional;Colombia;24;1;1;0;0;0;0;6;1
Alexis Rafael Pérez Fontanilla;28;Categoria Primera A;2014;Defender;Uniautónoma;Colombia;21;0;0;0;0;0;0;8;1
Alfredo Antonio Padilla Gutiérrez;33;Categoria Primera A;2014;Forward;Uniautónoma;Colombia;6;0;0;0;0;0;0;0;0
Alfredo Morelos;26;Categoria Primera A;2014;Forward;Independiente Medellín;Colombia;6;1;0;1;0;0;0;0;0
Alonso Antonio Acosta Arrieta;33;Categoria Primera A;2014;Defender;Uniautónoma;Colombia;22;1;0;1;0;0;0;6;0
Álvaro Francisco Nájera Gil;39;Categoria Primera A;2014;Defender;Atlético Nacional;Colombia;28;2;2;0;0;0;0;7;0
Álvaro José Domínguez Cabezas;41;Categoria Primera A;2014;Midfielder;Junior;Colombia;4;0;0;0;0;0;0;1;0
Alveiro Sánchez Ramírez;24;Categoria Primera A;2014;Forward;Deportivo Cali;Colombia;3;0;0;0;0;0;0;0;0
Amaury Torralvo Polo;28;Categoria Primera A;2014;Defender;La Equidad;Colombia;9;0;0;0;0;0;0;1;0
Amílcar Henríquez Espinosa;39;Categoria Primera A;2014;Midfielder;Independiente Medellín;Panama;13;1;0;1;0;0;0;5;0
Anderson Daniel Plata Guillén;31;Categoria Primera A;2014;Forward;Millonarios;Colombia;16;1;0;1;0;0;0;3;0
Anderson Fernan Zapata Diosa;37;Categoria Primera A;2014;Midfielder;Rionegro Águilas;Colombia;18;1;1;0;0;0;0;2;0
Andrés Cadavid;36;Categoria Primera A;2014;Defender;Millonarios;Colombia;33;1;0;1;0;0;0;10;1
Andrés Correa Valencia;28;Categoria Primera A;2014;Defender;Fortaleza CEIF;Colombia;13;0;0;0;0;0;0;2;0
Andrés David Saldarriaga Cardona;43;Categoria Primera A;2014;Goalkeeper;Boyacá Chicó;Colombia;2;0;0;0;0;0;0;0;0
Andrés Eduardo Pérez Gutiérrez;41;Categoria Primera A;2014;Midfielder;Deportivo Cali;Colombia;31;1;1;0;0;0;0;21;2
Andrés Felipe Álvarez Gordón;29;Categoria Primera A;2014;Defender;Alianza Petrolera;Colombia;16;0;0;0;0;0;0;6;0
Andrés Felipe Correa Osorio;38;Categoria Primera A;2014;Defender;Junior;Colombia;31;1;1;0;0;0;0;10;1
Andrés Felipe González Ramírez;38;Categoria Primera A;2014;Defender;Junior;Colombia;2;0;0;0;0;0;0;0;0
Andrés Felipe Mosquera Guardia;32;Categoria Primera A;2014;Defender;Independiente Medellín;Colombia;36;2;1;1;0;0;0;8;1
Andrés Felipe Orozco Vásquez;43;Categoria Primera A;2014;Defender;Envigado;Colombia;28;2;2;0;0;0;0;13;1
Andrés Felipe Ortíz Agudelo;35;Categoria Primera A;2014;Defender;Rionegro Águilas;Colombia;9;0;0;0;0;0;0;3;0
Andrés Felipe Salinas Rodríguez;36;Categoria Primera A;2014;Defender;Patriotas Boyacá;Colombia;2;1;0;1;0;0;0;1;0
Andrés Felipe Tello Muñoz;26;Categoria Primera A;2014;Midfielder;Envigado;Colombia;16;1;1;0;0;0;0;6;1
Andrés Guillermo Uhía Cuello;36;Categoria Primera A;2014;Midfielder;Fortaleza CEIF;Colombia;10;0;0;0;0;0;0;2;0
Andrés Ibargüen;30;Categoria Primera A;2014;Forward;Deportes Tolima;Colombia;16;1;1;0;0;0;0;2;0
Andrés Leandro Castellanos Serrano;38;Categoria Primera A;2014;Goalkeeper;Independiente Medellín;Colombia;18;0;0;0;0;0;0;1;0
Andrés Mosquera;30;Categoria Primera A;2014;Goalkeeper;Fortaleza CEIF;Colombia;32;0;0;0;0;0;0;4;0
Andrés Murillo;26;Categoria Primera A;2014;Defender;La Equidad;Colombia;1;0;0;0;0;0;0;1;0
Andrés Ricaurte Vélez;30;Categoria Primera A;2014;Midfielder;Rionegro Águilas;Colombia;1;0;0;0;0;0;0;1;0
Andy Jorman Polo Andrade;27;Categoria Primera A;2014;Forward;Millonarios;Peru;11;2;0;2;0;0;0;0;0
Ángelo Rodríguez;33;Categoria Primera A;2014;Forward;Envigado;Colombia;27;5;2;3;0;0;0;2;0
Antonio Alejandro Otero Orejuéla;38;Categoria Primera A;2014;Goalkeeper;Patriotas Boyacá;Colombia;16;0;0;0;0;0;0;1;0
Antony Domingo Silva Cano;38;Categoria Primera A;2014;Goalkeeper;Deportes Tolima;Paraguay;0;0;0;0;0;0;0;0;0
Argemiro Vacca Cortés;33;Categoria Primera A;2014;Defender;Fortaleza CEIF;Colombia;14;1;0;1;0;0;0;5;0
Armando José Carrillo Dangond;36;Categoria Primera A;2014;Forward;Boyacá Chicó;Colombia;16;4;4;0;0;0;0;0;0
Armando Junior Vargas Morales;33;Categoria Primera A;2014;Midfielder;Santa Fe;Colombia;12;1;1;0;0;0;0;2;0
Arnaldo Javier Pereira Vera;36;Categoria Primera A;2014;Defender;Alianza Petrolera;Paraguay;8;0;0;0;0;0;0;3;0
Avimiled Rivas Quintero;37;Categoria Primera A;2014;Midfielder;Patriotas Boyacá;Colombia;25;0;0;0;0;0;0;12;2
Ayron Del Valle Rodríguez;33;Categoria Primera A;2014;Forward;Alianza Petrolera;Colombia;32;15;6;9;0;0;0;6;0
Boris Yasser Polo Mosquera;31;Categoria Primera A;2014;Midfielder;Rionegro Águilas;Colombia;7;1;1;0;0;0;0;0;0
Brayan Andrés Rovira Ferreira;25;Categoria Primera A;2014;Forward;Atlético Nacional;Colombia;0;0;0;0;0;0;0;0;0
Brayan Edinson Angulo Mosquera;29;Categoria Primera A;2014;Midfielder;Rionegro Águilas;Colombia;31;5;2;3;0;0;0;3;0
Brayan Esteban Silva Pinto;25;Categoria Primera A;2014;Goalkeeper;Millonarios;Colombia;0;0;0;0;0;0;0;0;0
Brayan Stiven Quiroga Mendoza;27;Categoria Primera A;2014;Defender;Uniautónoma;Colombia;2;0;0;0;0;0;0;0;0
