full_name;age;league;season;position;Current Club;nationality;appearances_overall;goals_overall;goals_home;goals_away;assists_overall;assists_home;assists_away;yellow_cards_overall;red_cards_overall
Abdiel Arroyo Molinar;28;Categoria Primera A;2016;Forward;Deportes Tolima;Panama;16;1;1;0;0;0;0;1;0
Abel Enrique Aguilar Tapia;37;Categoria Primera A;2016;Midfielder;Deportivo Cali;Colombia;16;0;0;0;0;0;0;7;1
Adrián Parra Osorio;25;Categoria Primera A;2016;Forward;Fortaleza CEIF;Colombia;3;0;0;0;0;0;0;0;0
Albin Stevic Domínguez Martínez;24;Categoria Primera A;2016;Defender;Atlético Nacional;Colombia;4;0;0;0;0;0;0;0;0
Alcides Peña Jimenez;33;Categoria Primera A;2016;Forward;Atlético Bucaramanga;Bolivia;7;0;0;0;0;0;0;3;0
Aldair Guzmán Chaverra;23;Categoria Primera A;2016;Forward;Cortuluá;Colombia;10;0;0;0;0;0;0;1;0
Aldair Quintana;28;Categoria Primera A;2016;Goalkeeper;Independiente Medellín;Colombia;0;0;0;0;0;0;0;0;0
Aldair Yesid Gutiérrez Toncel;24;Categoria Primera A;2016;Defender;Cortuluá;Colombia;5;0;0;0;0;0;0;1;0
Alejandro Abraham Guerra Morales;37;Categoria Primera A;2016;Midfielder;Atlético Nacional;Venezuela;10;6;3;3;0;0;0;3;0
Alejandro Bernal Ríos;34;Categoria Primera A;2016;Defender;Atlético Nacional;Colombia;14;2;0;2;0;0;0;2;0
Alejandro Zuluaga Arias;25;Categoria Primera A;2016;Defender;Once Caldas;Colombia;4;0;0;0;0;0;0;0;0
Alex Díaz Díaz;33;Categoria Primera A;2016;Defender;La Equidad;Colombia;6;0;0;0;0;0;0;1;1
Alex Stik Castro Giraldo;28;Categoria Primera A;2016;Midfielder;Alianza Petrolera;Colombia;28;1;0;1;0;0;0;4;1
Alexander Mejía Sabalsa;34;Categoria Primera A;2016;Midfielder;Atlético Nacional;Colombia;17;0;0;0;0;0;0;6;0
Alexis Héctor Henríquez Charales;39;Categoria Primera A;2016;Defender;Atlético Nacional;Colombia;20;1;1;0;0;0;0;8;1
Alexis Hinestroza Estacio;34;Categoria Primera A;2016;Midfielder;Millonarios;Colombia;20;0;0;0;0;0;0;4;0
Alexis Rafael Pérez Fontanilla;28;Categoria Primera A;2016;Defender;Junior;Colombia;29;0;0;0;0;0;0;10;2
Alí Manuel Manouchehri Moghadam Kashan Lobo;36;Categoria Primera A;2016;Defender;Boyacá Chicó;Chile;10;1;0;1;0;0;0;5;0
Almir de Jesús Soto Maldonado;28;Categoria Primera A;2016;Midfielder;Fortaleza CEIF;Colombia;23;3;2;1;0;0;0;5;0
Álvaro Anyiver Angulo Mosquera;25;Categoria Primera A;2016;Defender;Deportivo Pasto;Colombia;11;0;0;0;0;0;0;5;1
Álvaro Francisco Nájera Gil;39;Categoria Primera A;2016;Defender;Atlético Nacional;Colombia;26;0;0;0;0;0;0;10;1
Álvaro Javier Hungría Rosero;30;Categoria Primera A;2016;Defender;Envigado;Colombia;1;0;0;0;0;0;0;0;0
Alveiro Sánchez Ramírez;24;Categoria Primera A;2016;Forward;Deportivo Pasto;Colombia;7;0;0;0;0;0;0;1;0
Alyair Alberto Mora Romero;24;Categoria Primera A;2016;Goalkeeper;Jaguares de Córdoba;Colombia;0;0;0;0;0;0;0;0;0
Amaury Torralvo Polo;28;Categoria Primera A;2016;Defender;La Equidad;Colombia;30;0;0;0;0;0;0;5;0
Anderson Aldair Herrera Azuero;26;Categoria Primera A;2016;Forward;Alianza Petrolera;Colombia;0;0;0;0;0;0;0;0;0
Anderson Arroyo Córdoba;22;Categoria Primera A;2016;Defender;Fortaleza CEIF;Colombia;8;0;0;0;0;0;0;3;0
Anderson Daniel Plata Guillén;31;Categoria Primera A;2016;Forward;Santa Fe;Colombia;23;7;1;6;0;0;0;3;0
Anderson Fabián Machado Anichiarico;24;Categoria Primera A;2016;Midfielder;Jaguares de Córdoba;Colombia;2;0;0;0;0;0;0;1;0
Anderson Fernan Zapata Diosa;37;Categoria Primera A;2016;Midfielder;Patriotas Boyacá;Colombia;42;0;0;0;0;0;0;6;0
Anderson Yesid Pino Erazo;26;Categoria Primera A;2016;Midfielder;Atlético Bucaramanga;Colombia;1;0;0;0;0;0;0;0;0
Andrés Cadavid;36;Categoria Primera A;2016;Defender;Millonarios;Colombia;37;0;0;0;0;0;0;11;1
Andrés Correa Valencia;28;Categoria Primera A;2016;Defender;Boyacá Chicó;Colombia;31;1;0;1;0;0;0;13;3
Andrés Eduardo Pérez Gutiérrez;41;Categoria Primera A;2016;Midfielder;Deportivo Cali;Colombia;37;1;1;0;0;0;0;18;1
Andrés Felipe Álvarez Gordón;29;Categoria Primera A;2016;Defender;Deportivo Pasto;Colombia;5;0;0;0;0;0;0;3;0
Andrés Felipe Arboleda Hurtado;35;Categoria Primera A;2016;Defender;Jaguares de Córdoba;Colombia;28;0;0;0;0;0;0;7;0
Andrés Felipe Córdoba Palacios;24;Categoria Primera A;2016;Midfielder;Atlético Nacional;Colombia;1;0;0;0;0;0;0;0;0
Andrés Felipe Correa Osorio;38;Categoria Primera A;2016;Defender;Junior;Colombia;7;0;0;0;0;0;0;0;0
Andrés Felipe Mosquera Guardia;32;Categoria Primera A;2016;Defender;Independiente Medellín;Colombia;25;0;0;0;0;0;0;7;1
Andrés Felipe Orozco Vásquez;43;Categoria Primera A;2016;Defender;Envigado;Colombia;8;0;0;0;0;0;0;3;0
Andrés Felipe Roa Estrada;29;Categoria Primera A;2016;Midfielder;Deportivo Cali;Colombia;28;4;4;0;0;0;0;7;0
Andrés Ibargüen;30;Categoria Primera A;2016;Forward;Atlético Nacional;Colombia;33;9;6;3;0;0;0;3;0
Andrés Leandro Castellanos Serrano;38;Categoria Primera A;2016;Goalkeeper;Santa Fe;Colombia;30;0;0;0;0;0;0;6;0
Andrés Mauricio Restrepo Gómez;41;Categoria Primera A;2016;Midfielder;La Equidad;Colombia;39;0;0;0;0;0;0;7;0
Andrés Mosquera;30;Categoria Primera A;2016;Goalkeeper;Atlético Bucaramanga;Colombia;7;0;0;0;0;0;0;1;0
Andrés Murillo;26;Categoria Primera A;2016;Defender;La Equidad;Colombia;11;1;1;0;0;0;0;3;0
Andrés Ramiro Escobar Díaz;31;Categoria Primera A;2016;Forward;Millonarios;Colombia;30;6;5;1;0;0;0;8;1
Andrés Sarmiento;24;Categoria Primera A;2016;Forward;Atlético Nacional;Colombia;3;0;0;0;0;0;0;0;0
Ángelo Rodríguez;33;Categoria Primera A;2016;Forward;Deportes Tolima;Colombia;35;14;10;4;0;0;0;10;0
Antonio Alejandro Otero Orejuéla;38;Categoria Primera A;2016;Goalkeeper;Patriotas Boyacá;Colombia;37;0;0;0;0;0;0;2;0
Antony José Otero Carrascal;26;Categoria Primera A;2016;Forward;Rionegro Águilas;Colombia;24;2;0;2;0;0;0;5;2
Aquivaldo Mosquera Romaña;41;Categoria Primera A;2016;Defender;Deportivo Cali;Colombia;12;1;1;0;0;0;0;6;1
Ariel Roman Soto Gonzalez;30;Categoria Primera A;2016;Defender;Boyacá Chicó;Costa Rica;15;0;0;0;0;0;0;11;0
Arlenzon Luis Ucrós Brito;30;Categoria Primera A;2016;Midfielder;Cortuluá;Colombia;6;0;0;0;0;0;0;0;0
Arley Rodríguez;29;Categoria Primera A;2016;Forward;Atlético Nacional;Colombia;25;7;4;3;0;0;0;9;0
Armando Junior Vargas Morales;33;Categoria Primera A;2016;Midfielder;Deportes Tolima;Colombia;43;5;3;2;0;0;0;9;0
Arnaldo Andrés Giménez Dos Santos;35;Categoria Primera A;2016;Goalkeeper;Boyacá Chicó;Paraguay;14;0;0;0;0;0;0;3;0
Arnol Palacios Mosquera;30;Categoria Primera A;2016;Defender;Atlético Huila;Colombia;16;1;0;1;0;0;0;3;0
Avimiled Rivas Quintero;37;Categoria Primera A;2016;Midfielder;Deportes Tolima;Colombia;28;0;0;0;0;0;0;11;0
Ayron Del Valle Rodríguez;33;Categoria Primera A;2016;Forward;Millonarios;Colombia;20;12;6;6;0;0;0;2;0
Bairon Estiven Sánchez Torijano;25;Categoria Primera A;2016;Midfielder;Boyacá Chicó;Colombia;0;0;0;0;0;0;0;0;0
Baldomero Perlaza Perlaza;30;Categoria Primera A;2016;Midfielder;Santa Fe;Colombia;35;2;2;0;0;0;0;8;0
Bismar Córdoba Marín;29;Categoria Primera A;2016;Midfielder;Jaguares de Córdoba;Colombia;7;2;2;0;0;0;0;0;0
Boris Yasser Polo Mosquera;31;Categoria Primera A;2016;Midfielder;Atlético Huila;Colombia;2;0;0;0;0;0;0;1;0
Brahyan Stiven Rivas Asprilla;25;Categoria Primera A;2016;Midfielder;Atlético Huila;Colombia;3;0;0;0;0;0;0;2;0
Brayan Alexander Montaño Quiñónes;32;Categoria Primera A;2016;Forward;Patriotas Boyacá;Colombia;11;0;0;0;0;0;0;3;0
Brayan Andrés Rovira Ferreira;25;Categoria Primera A;2016;Forward;Envigado;Colombia;22;1;0;1;0;0;0;6;1
Brayan Bermúdez Mazo;26;Categoria Primera A;2016;Forward;Deportes Tolima;Colombia;1;0;0;0;0;0;0;0;0
Brayan Edinson Angulo Mosquera;29;Categoria Primera A;2016;Midfielder;Deportivo Pasto;Colombia;9;1;1;0;0;0;0;0;0
Brayan Esteban Silva Pinto;25;Categoria Primera A;2016;Goalkeeper;Millonarios;Colombia;0;0;0;0;0;0;0;0;0
Brayan Riascos;27;Categoria Primera A;2016;Forward;Atlético Huila;Colombia;5;0;0;0;0;0;0;0;0
Brayhan Andrés Torres Quiñones;24;Categoria Primera A;2016;Defender;Fortaleza CEIF;Colombia;6;0;0;0;0;0;0;0;0
