date_GMT;home_team_name;away_team_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;stadium_name
Apr 02 2014 - 11:00pm;Once Caldas;Uniautónoma;3;1;4;9;2;1;0;1;0;14;16;6;9;9;11;52;48;Estadio Palogrande
Apr 03 2014 - 1:00am;Junior;Boyacá Chicó;2;1;3;9;4;0;0;2;0;11;9;5;4;18;13;49;51;Estadio Metropolitano Roberto Meléndez
Apr 03 2014 - 1:00am;Deportivo Cali;Alianza Petrolera;1;2;3;11;3;2;0;3;0;13;16;9;8;24;14;50;50;Estadio Olímpico Pascual Guerrero
Apr 03 2014 - 11:00pm;Rionegro Águilas;La Equidad;3;1;4;4;3;3;0;4;1;12;8;9;4;23;14;53;47;Estadio Metropolitano de Itagüí (Itagüí)
Apr 04 2014 - 1:00am;Fortaleza CEIF;Envigado;2;1;3;6;5;3;0;4;0;15;7;5;4;17;16;52;48;Estadio Metropolitano de Techo
Apr 04 2014 - 1:55am;Patriotas Boyacá;Deportes Tolima;1;2;3;3;3;2;0;3;0;14;9;4;4;15;17;47;53;Estadio de La Independencia
Apr 05 2014 - 8:15pm;Deportivo Pasto;Atlético Huila;5;1;6;3;8;3;0;2;0;17;3;7;0;16;15;50;50;Estadio Departamental Libertad
Apr 05 2014 - 10:00pm;Millonarios;Deportivo Cali;1;0;1;6;4;3;0;2;0;23;9;12;3;11;28;48;52;Estadio Nemesio Camacho El Campín
Apr 05 2014 - 10:30pm;Uniautónoma;Alianza Petrolera;0;2;2;2;6;1;0;1;1;11;12;7;4;17;17;47;53;Estadio Metropolitano Roberto Meléndez
Apr 06 2014 - 12:45am;Atlético Nacional;Junior;1;0;1;8;6;3;0;2;0;15;12;4;6;10;6;52;48;Estadio Atanasio Girardot
Apr 06 2014 - 8:15pm;La Equidad;Fortaleza CEIF;1;1;2;9;1;3;0;6;1;11;11;2;4;16;21;49;51;Estadio Metropolitano de Techo
Apr 06 2014 - 8:15pm;Once Caldas;Santa Fe;1;1;2;6;5;2;0;2;0;25;11;6;5;12;11;50;50;Estadio Palogrande
