date_GMT;home_team_name;away_team_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;stadium_name
Jan 24 2020 - 12:45am;Deportes Tolima;Independiente Medellín;2;2;4;7;3;5;0;1;0;11;4;5;3;14;20;50;50;Estadio Manuel Murillo Toro (Ibagué)
Jan 24 2020 - 11:00pm;Rionegro Águilas;Jaguares de Córdoba;2;0;2;1;5;2;0;1;0;12;6;4;3;15;19;50;50;Estadio Alberto Grisales (Rionegro- Antioquia)
Jan 25 2020 - 1:05am;Once Caldas;Santa Fe;0;0;0;6;5;3;0;3;0;18;11;9;5;13;16;49;51;Estadio Palogrande (Manizales)
Jan 25 2020 - 7:00pm;Envigado;Boyacá Chicó;1;0;1;5;1;2;0;1;1;7;7;4;3;24;18;47;53;Estadio Polideportivo Sur (Envigado)
Jan 25 2020 - 9:05pm;Atlético Bucaramanga;Deportivo Cali;0;2;2;9;4;3;0;4;0;7;7;4;3;24;18;45;55;Estadio Daniel Villa Zapata (Barrancabermeja)
Jan 25 2020 - 11:10pm;Junior;La Equidad;2;0;2;3;2;3;0;4;0;7;7;2;3;16;10;50;50;Estadio Metropolitano Roberto Meléndez (Barranquilla)
Jan 26 2020 - 1:15am;América de Cali;Alianza Petrolera;3;1;4;1;5;2;0;1;0;15;6;10;4;25;12;47;53;Estadio Olímpico Pascual Guerrero (Santiago de Cali)
Jan 26 2020 - 8:15pm;Patriotas Boyacá;Cúcuta Deportivo;1;1;2;3;2;1;0;1;0;12;14;4;5;22;15;48;52;Estadio de La Independencia (Tunja)
Jan 26 2020 - 10:20pm;Atlético Nacional;Deportivo Pereira;2;0;2;7;4;3;0;3;0;14;6;7;3;20;13;47;53;Estadio Atanasio Girardot (Medellín)
Jan 27 2020 - 12:30am;Millonarios;Deportivo Pasto;1;2;3;6;4;2;0;3;0;14;11;8;6;11;12;46;54;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Jan 28 2020 - 9:00pm;Once Caldas;Atlético Bucaramanga;1;1;2;10;2;3;0;3;0;10;11;3;5;13;8;46;54;Estadio Palogrande (Manizales)
Jan 28 2020 - 11:05pm;Independiente Medellín;Rionegro Águilas;2;1;3;2;3;4;0;2;0;8;11;0;6;17;19;46;54;Estadio Atanasio Girardot (Medellín)
