date_GMT;home_team_name;away_team_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;stadium_name
Jan 31 2015 - 12:45am;Cortuluá;Envigado;1;1;2;7;3;3;1;3;0;11;4;5;3;14;20;50;50;Estadio Doce de Octubre
Jan 31 2015 - 8:15pm;Deportes Tolima;Boyacá Chicó;4;1;5;4;5;2;0;3;0;12;6;4;3;15;19;50;50;Estadio Manuel Murillo Toro
Jan 31 2015 - 10:30pm;Once Caldas;Independiente Medellín;0;2;2;10;3;1;0;3;0;18;11;9;5;13;16;49;51;Estadio Palogrande
Feb 01 2015 - 12:45am;Atlético Nacional;Rionegro Águilas;2;0;2;9;3;3;0;3;0;7;7;4;3;24;18;47;53;Estadio Atanasio Girardot
Feb 01 2015 - 8:00pm;Jaguares de Córdoba;Deportivo Cali;0;0;0;-1;-1;2;0;5;0;7;7;4;3;24;18;45;55;Estadio de Fútbol Jaraguay de Montería
Feb 01 2015 - 10:00pm;La Equidad;Santa Fe;2;2;4;4;3;4;1;3;1;7;7;2;3;16;10;50;50;Estadio Metropolitano de Techo
Feb 01 2015 - 10:30pm;Patriotas Boyacá;Atlético Huila;2;1;3;1;4;4;0;0;0;15;6;10;4;25;12;47;53;Estadio de La Independencia
Feb 02 2015 - 12:30am;Cúcuta Deportivo;Junior;1;0;1;7;6;3;0;3;0;12;14;4;5;22;15;48;52;Estadio General Santander
Feb 03 2015 - 12:45am;Uniautónoma;Alianza Petrolera;1;1;2;3;1;1;0;3;0;14;6;7;3;20;13;47;53;Estadio Metropolitano Roberto Meléndez
Feb 07 2015 - 12:45am;Atlético Huila;Jaguares de Córdoba;2;1;3;6;2;3;0;2;0;14;11;8;6;11;12;46;54;Estadio Guillermo Plazas Alcid
Feb 07 2015 - 7:00pm;Deportivo Pasto;Cortuluá;0;3;3;4;2;2;0;2;0;10;11;3;5;13;8;46;54;Estadio Departamental Libertad
Feb 07 2015 - 9:00pm;Rionegro Águilas;Uniautónoma;1;0;1;5;5;1;0;2;1;8;11;0;6;17;19;46;54;Estadio Hernán Ramírez Villegas
Feb 07 2015 - 10:00pm;Millonarios;Patriotas Boyacá;2;0;2;7;5;3;0;4;0;18;4;9;2;15;16;45;55;Estadio Nemesio Camacho El Campín
Feb 07 2015 - 11:00pm;Independiente Medellín;Atlético Nacional;0;1;1;8;4;2;0;4;0;16;10;10;2;12;12;45;55;Estadio Atanasio Girardot
Feb 08 2015 - 1:00am;Cúcuta Deportivo;Santa Fe;2;2;4;-1;-1;1;0;2;0;8;12;6;4;9;10;45;55;Estadio General Santander
Feb 08 2015 - 8:15pm;Boyacá Chicó;Alianza Petrolera;0;0;0;7;1;1;0;1;0;16;10;14;8;22;16;44;56;Estadio de La Independencia
Feb 08 2015 - 10:00pm;Deportivo Cali;La Equidad;2;0;2;2;3;3;0;6;1;14;10;8;2;16;10;44;56;Estadio Deportivo Cali
Feb 08 2015 - 10:30pm;Junior;Once Caldas;2;1;3;9;4;2;0;3;0;12;13;4;7;22;13;50;50;Estadio Metropolitano Roberto Meléndez
Feb 09 2015 - 12:30am;Envigado;Deportes Tolima;1;0;1;3;6;4;0;3;0;13;15;6;9;18;21;48;52;Estadio Polideportivo Sur
Feb 10 2015 - 9:00pm;Jaguares de Córdoba;Deportivo Pasto;2;0;2;-1;-1;0;0;3;1;17;3;7;0;16;15;52;48;Estadio de Fútbol Jaraguay de Montería
