date_GMT;home_team_name;away_team_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;stadium_name
Jan 25 2023 - 1:00am;Atlético Bucaramanga;Envigado;0;0;0;6;3;1;0;4;0;11;4;5;3;14;20;50;50;Estadio Alfonso López (Bucaramanga)
Jan 25 2023 - 8:10pm;Unión Magdalena;Atlético Huila;2;1;3;6;6;2;0;1;0;12;6;4;3;15;19;50;50;Estadio Sierra Nevada (Santa Marta)
Jan 25 2023 - 10:20pm;Rionegro Águilas;Junior;1;1;2;4;2;2;0;4;0;18;11;9;5;13;16;49;51;Estadio Alberto Grisales (Rionegro- Antioquia)
Jan 26 2023 - 9:00pm;Boyacá Chicó;Alianza Petrolera;2;0;2;2;10;0;0;2;0;7;7;4;3;24;18;47;53;Estadio de La Independencia (Tunja)
Jan 26 2023 - 11:10pm;Deportes Tolima;América de Cali;2;1;3;4;2;4;0;2;0;7;7;4;3;24;18;45;55;Estadio Manuel Murillo Toro (Ibagué)
Jan 27 2023 - 1:20am;Atlético Nacional;Once Caldas;1;0;1;6;2;1;0;0;0;7;7;2;3;16;10;50;50;Estadio Atanasio Girardot (Medellín)
Jan 27 2023 - 10:20pm;Jaguares de Córdoba;Santa Fe;2;2;4;6;3;4;0;5;1;15;6;10;4;25;12;47;53;Estadio de Fútbol Jaraguay de Montería (Montería)
Jan 28 2023 - 8:10pm;Envigado;La Equidad;1;1;2;2;4;2;1;3;0;12;14;4;5;22;15;48;52;Estadio Polideportivo Sur (Envigado)
Jan 28 2023 - 10:20pm;Atlético Huila;Atlético Bucaramanga;1;2;3;11;4;1;0;2;0;14;6;7;3;20;13;47;53;Estadio Guillermo Plazas Alcid (Neiva)
Jan 29 2023 - 8:10pm;Atlético Nacional;Rionegro Águilas;0;0;0;4;2;1;0;3;0;14;11;8;6;11;12;46;54;Estadio Atanasio Girardot (Medellín)
Jan 29 2023 - 10:20pm;Deportivo Pereira;Millonarios;2;3;5;8;5;4;0;1;0;10;11;3;5;13;8;46;54;Estadio Hernán Ramírez Villegas (Pereira)
Jan 30 2023 - 12:30am;Junior;Independiente Medellín;1;1;2;8;7;4;0;5;0;8;11;0;6;17;19;46;54;Estadio Metropolitano Roberto Meléndez (Barranquilla)
Jan 31 2023 - 1:10am;Once Caldas;Deportes Tolima;1;1;2;9;3;2;0;1;0;18;4;9;2;15;16;45;55;Estadio Palogrande (Manizales)
Jan 31 2023 - 9:00pm;Boyacá Chicó;Jaguares de Córdoba;1;0;1;4;2;2;0;0;0;16;10;10;2;12;12;45;55;Estadio de La Independencia (Tunja)
Jan 31 2023 - 11:10pm;América de Cali;Unión Magdalena;4;0;4;4;5;1;0;3;0;8;12;6;4;9;10;45;55;Estadio Olímpico Pascual Guerrero (Santiago de Cali)
Feb 03 2023 - 11:00pm;Deportivo Pereira;Atlético Huila;2;1;3;3;3;3;0;1;0;16;10;14;8;22;16;44;56;Estadio Hernán Ramírez Villegas (Pereira)
Feb 04 2023 - 8:30pm;Independiente Medellín;Santa Fe;1;1;2;11;3;4;0;2;1;14;10;8;2;16;10;44;56;Estadio Atanasio Girardot (Medellín)
Feb 04 2023 - 10:45pm;Jaguares de Córdoba;Atlético Nacional;2;1;3;4;4;2;0;4;0;12;13;4;7;22;13;50;50;Estadio de Fútbol Jaraguay de Montería (Montería)
Feb 05 2023 - 1:00am;Deportivo Pasto;América de Cali;2;4;6;6;0;5;0;3;0;13;15;6;9;18;21;48;52;Estadio Departamental Libertad (San Juan de Pasto)
Feb 05 2023 - 8:15pm;Deportivo Cali;Once Caldas;0;0;0;5;3;4;0;0;0;17;3;7;0;16;15;52;48;Estadio Deportivo Cali (Palmira)
Feb 05 2023 - 10:30pm;Atlético Bucaramanga;Junior;1;0;1;9;7;3;0;4;0;23;9;12;3;11;28;50;50;Estadio Alfonso López (Bucaramanga)
Feb 06 2023 - 12:45am;Unión Magdalena;Envigado;1;1;2;8;6;4;0;4;1;11;12;7;4;17;17;51;49;Estadio Sierra Nevada (Santa Marta)
Feb 06 2023 - 11:00pm;Rionegro Águilas;Deportes Tolima;4;2;6;5;9;4;0;6;0;15;12;4;6;10;6;47;53;Estadio Alberto Grisales (Rionegro- Antioquia)
Feb 09 2023 - 11:05pm;Junior;Unión Magdalena;0;0;0;5;3;3;1;4;2;11;11;2;4;16;21;49;51;Estadio Metropolitano Roberto Meléndez (Barranquilla)
Feb 10 2023 - 11:00pm;Alianza Petrolera;Atlético Huila;2;0;2;6;6;3;0;1;2;25;11;6;5;12;11;51;49;Estadio Daniel Villa Zapata (Barrancabermeja)
Feb 11 2023 - 1:10am;Jaguares de Córdoba;Atlético Bucaramanga;1;1;2;3;5;3;0;1;0;16;7;12;4;20;24;53;47;Estadio de Fútbol Jaraguay de Montería (Montería)
Feb 11 2023 - 7:00pm;Envigado;Independiente Medellín;2;1;3;6;3;4;0;4;0;10;12;4;3;12;19;52;48;Estadio Metropolitano de Itagüí (Itagüí)
Feb 11 2023 - 11:20pm;Once Caldas;Rionegro Águilas;1;2;3;2;3;3;0;2;1;22;6;14;2;13;12;49;51;Estadio Palogrande (Manizales)
Feb 12 2023 - 1:30am;América de Cali;La Equidad;1;1;2;6;1;4;0;6;0;9;6;7;3;10;26;49;51;Estadio Olímpico Pascual Guerrero (Santiago de Cali)
Feb 12 2023 - 7:00pm;Boyacá Chicó;Deportivo Pereira;3;1;4;5;4;2;0;3;0;14;16;6;9;9;11;53;47;Estadio de La Independencia (Tunja)
Feb 13 2023 - 1:10am;Atlético Nacional;Deportivo Cali;1;1;2;6;6;5;1;6;1;14;16;6;9;9;11;53;47;Estadio Atanasio Girardot (Medellín)
Feb 15 2023 - 1:00am;Santa Fe;Deportivo Pasto;0;2;2;8;0;2;1;4;0;11;9;5;4;18;13;52;48;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Feb 16 2023 - 1:00am;La Equidad;Independiente Medellín;2;1;3;7;4;4;0;2;0;13;16;9;8;24;14;50;50;Estadio Metropolitano de Techo (Bogotá- D.C.)
