date_GMT;home_team_name;away_team_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;stadium_name
Feb 02 2013 - 12:45am;Deportes Quindío;Deportivo Pasto;0;1;1;-1;-1;4;0;5;0;Estadio Centenario (Armenia)
Feb 02 2013 - 8:15pm;Alianza Petrolera;Santa Fe;0;3;3;-1;-1;4;0;2;0;Estadio Santiago de las Atalayas (Yopal)
Feb 02 2013 - 10:30pm;Patriotas Boyacá;Boyacá Chicó;1;1;2;-1;-1;4;1;1;0;Estadio de La Independencia
Feb 02 2013 - 10:30pm;Deportivo Cali;Once Caldas;2;1;3;-1;-1;3;0;4;1;Estadio Olímpico Pascual Guerrero
Feb 03 2013 - 12:45am;Atlético Nacional;Atlético Huila;3;0;3;-1;-1;4;0;4;0;Estadio Atanasio Girardot
Feb 03 2013 - 8:15pm;Junior;Envigado;4;0;4;-1;-1;3;0;2;0;Estadio Metropolitano Roberto Meléndez
Feb 03 2013 - 10:30pm;Millonarios;La Equidad;3;1;4;-1;-1;2;0;5;0;Estadio Nemesio Camacho El Campín
Feb 04 2013 - 12:52am;Deportes Tolima;Independiente Medellín;1;0;1;-1;-1;4;1;6;2;Estadio Manuel Murillo Toro
Feb 04 2013 - 8:00pm;Rionegro Águilas;Cúcuta Deportivo;0;0;0;-1;-1;4;0;5;0;Estadio Metropolitano de Itagüí (Itagüí)
Feb 09 2013 - 12:00am;La Equidad;Alianza Petrolera;0;1;1;-1;-1;3;0;6;0;Estadio Metropolitano de Techo
Feb 09 2013 - 1:00am;Deportivo Pasto;Patriotas Boyacá;3;2;5;-1;-1;2;0;3;0;Estadio Departamental Libertad
Feb 09 2013 - 8:20pm;Atlético Huila;Rionegro Águilas;1;1;2;-1;-1;2;0;2;0;Estadio Guillermo Plazas Alcid
Feb 09 2013 - 10:30pm;Boyacá Chicó;Deportivo Cali;1;2;3;-1;-1;3;0;4;0;Estadio de La Independencia
Feb 09 2013 - 10:40pm;Santa Fe;Atlético Nacional;2;2;4;-1;-1;4;0;1;0;Estadio Nemesio Camacho El Campín
Feb 10 2013 - 12:50am;Once Caldas;Junior;2;1;3;-1;-1;5;0;6;0;Estadio Palogrande
Feb 10 2013 - 8:15pm;Envigado;Deportes Tolima;2;2;4;-1;-1;2;0;4;0;Estadio Polideportivo Sur
Feb 10 2013 - 10:30pm;Independiente Medellín;Millonarios;0;0;0;-1;-1;3;0;4;0;Estadio Atanasio Girardot
Feb 11 2013 - 12:45am;Cúcuta Deportivo;Deportes Quindío;2;0;2;-1;-1;3;0;4;1;Estadio General Santander
Feb 16 2013 - 12:45am;Deportes Quindío;Atlético Huila;0;0;0;-1;-1;1;0;3;0;Estadio Centenario (Armenia)
Feb 16 2013 - 8:15pm;Patriotas Boyacá;Cúcuta Deportivo;1;3;4;-1;-1;1;0;2;0;Estadio de La Independencia
Feb 16 2013 - 10:30pm;Junior;Boyacá Chicó;2;2;4;-1;-1;2;0;6;0;Estadio Metropolitano Roberto Meléndez
Feb 16 2013 - 10:30pm;Millonarios;Envigado;1;0;1;-1;-1;2;0;2;0;Estadio Nemesio Camacho El Campín
Feb 17 2013 - 12:45am;Atlético Nacional;Alianza Petrolera;4;0;4;-1;-1;2;0;2;0;Estadio Atanasio Girardot
Feb 17 2013 - 8:15pm;Rionegro Águilas;Santa Fe;4;0;4;-1;-1;3;0;4;0;Estadio Metropolitano de Itagüí (Itagüí)
Feb 17 2013 - 10:30pm;Deportes Tolima;Once Caldas;2;2;4;-1;-1;2;0;3;0;Estadio Manuel Murillo Toro
Feb 17 2013 - 10:30pm;La Equidad;Independiente Medellín;1;0;1;-1;-1;2;0;4;0;Estadio Metropolitano de Techo
Feb 18 2013 - 12:45am;Deportivo Cali;Deportivo Pasto;2;2;4;-1;-1;4;0;2;1;Estadio Olímpico Pascual Guerrero
