date_GMT;home_team_name;away_team_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;stadium_name
Feb 26 2019 - 11:00pm;Alianza Petrolera;Jaguares de Córdoba;1;1;2;5;2;5;0;6;0;Estadio Daniel Villa Zapata
Feb 27 2019 - 1:00am;Cúcuta Deportivo;Atlético Huila;2;0;2;6;0;3;0;5;0;Estadio General Santander
Feb 27 2019 - 7:00pm;Deportivo Pasto;La Equidad;0;0;0;6;4;3;0;2;0;Estadio Municipal De Ipiales (Ipiales)
Feb 27 2019 - 9:00pm;Patriotas Boyacá;Once Caldas;1;0;1;0;2;1;0;0;0;Estadio de La Independencia
Feb 27 2019 - 11:00pm;Deportes Tolima;Atlético Bucaramanga;0;0;0;10;1;2;0;1;0;Estadio Manuel Murillo Toro
Feb 28 2019 - 1:00am;Junior;Envigado;0;0;0;3;1;3;1;3;0;Estadio Metropolitano Roberto Meléndez
Feb 28 2019 - 9:30pm;Rionegro Águilas;Independiente Medellín;0;1;1;4;7;3;0;2;0;Estadio Alberto Grisales
Feb 28 2019 - 11:30pm;América de Cali;Santa Fe;0;0;0;8;1;5;1;4;0;Estadio Olímpico Pascual Guerrero
Mar 01 2019 - 1:30am;Millonarios;Unión Magdalena;4;0;4;5;7;3;0;4;1;Estadio Nemesio Camacho El Campín
Mar 02 2019 - 8:15pm;Atlético Bucaramanga;Patriotas Boyacá;0;1;1;3;2;4;1;3;1;Estadio Alfonso López
Mar 02 2019 - 10:00pm;Once Caldas;Junior;0;1;1;9;2;1;0;2;0;Estadio Palogrande
Mar 02 2019 - 10:30pm;Jaguares de Córdoba;Deportes Tolima;0;4;4;4;0;2;0;3;0;Estadio de Fútbol Jaraguay de Montería
Mar 03 2019 - 12:45am;La Equidad;Cúcuta Deportivo;2;1;3;11;3;2;0;4;1;Estadio Metropolitano de Techo
Mar 03 2019 - 7:00pm;Santa Fe;Rionegro Águilas;2;2;4;4;2;3;1;4;1;Estadio Nemesio Camacho El Campín
Mar 03 2019 - 9:00pm;Unión Magdalena;Deportivo Pasto;1;0;1;4;4;3;0;5;1;Estadio Sierra Nevada
Mar 03 2019 - 10:00pm;Deportivo Cali;Millonarios;1;1;2;6;0;3;1;2;1;Estadio Deportivo Cali
Mar 03 2019 - 11:30pm;Envigado;América de Cali;4;1;5;6;4;6;0;1;0;Estadio Polideportivo Sur
Mar 05 2019 - 1:00am;Atlético Huila;Alianza Petrolera;1;2;3;3;4;2;1;3;1;Estadio Guillermo Plazas Alcid
Mar 08 2019 - 12:30am;Patriotas Boyacá;Deportivo Cali;0;3;3;6;2;2;0;4;0;Estadio de La Independencia
Mar 09 2019 - 12:45am;Deportes Tolima;Atlético Huila;0;0;0;7;2;2;0;5;0;Estadio Manuel Murillo Toro
Mar 09 2019 - 10:00pm;Millonarios;Atlético Nacional;1;1;2;4;5;1;0;4;1;Estadio Nemesio Camacho El Campín
Mar 09 2019 - 10:30pm;Alianza Petrolera;La Equidad;2;0;2;5;1;2;0;5;0;Estadio Daniel Villa Zapata
Mar 10 2019 - 12:45am;Junior;Atlético Bucaramanga;0;0;0;7;4;1;0;0;0;Estadio Metropolitano Roberto Meléndez
Mar 10 2019 - 7:00pm;Deportivo Pasto;Deportivo Cali;1;0;1;7;4;5;0;4;1;Estadio Municipal De Ipiales (Ipiales)
Mar 10 2019 - 9:00pm;Patriotas Boyacá;Jaguares de Córdoba;2;1;3;4;1;0;0;2;0;Estadio de La Independencia
Mar 10 2019 - 10:00pm;Independiente Medellín;Santa Fe;1;0;1;4;4;5;0;4;0;Estadio Atanasio Girardot
Mar 10 2019 - 10:00pm;Rionegro Águilas;Envigado;1;3;4;5;3;4;0;4;0;Estadio Alberto Grisales
Mar 10 2019 - 11:00pm;Cúcuta Deportivo;Unión Magdalena;3;1;4;6;6;5;0;6;1;Estadio General Santander
Mar 11 2019 - 1:00am;América de Cali;Once Caldas;3;1;4;6;3;1;0;2;0;Estadio Olímpico Pascual Guerrero
Mar 16 2019 - 8:15pm;Independiente Medellín;Atlético Nacional;2;2;4;4;7;2;0;4;0;Estadio Atanasio Girardot
Mar 16 2019 - 10:00pm;Deportivo Cali;América de Cali;0;1;1;5;0;1;0;5;0;Estadio Deportivo Cali
Mar 16 2019 - 10:30pm;La Equidad;Patriotas Boyacá;2;2;4;3;7;1;0;2;0;Estadio Metropolitano de Techo
Mar 17 2019 - 12:45am;Envigado;Rionegro Águilas;1;1;2;8;4;5;0;4;2;Estadio Polideportivo Sur
