common_name;season;matches_played;matches_played_home;matches_played_away;wins;wins_home;wins_away;draws;draws_home;draws_away;losses;losses_home;losses_away;league_position;goals_scored;goals_conceded;goal_difference;total_goal_count;corners_total;corners_total_home;corners_total_away;cards_total;cards_total_home;cards_total_away
Junior;2023;39;19;20;14;8;6;13;8;5;12;3;9;7;44;34;10;78;178;98;80;116;53;63
Deportivo Cali;2023;39;20;19;12;8;4;14;11;3;13;1;12;8;44;50;-6;94;235;122;113;118;61;57
Santa Fe;2023;39;19;20;13;11;2;11;2;9;15;6;9;11;50;53;-3;103;213;109;104;132;59;73
Atlético Huila;2023;39;20;19;9;6;3;10;9;1;20;5;15;15;38;55;-17;93;186;110;76;103;54;49
Once Caldas;2023;39;20;19;8;6;2;15;10;5;16;4;12;16;38;45;-7;83;203;122;81;107;54;53
Millonarios;2023;47;24;23;22;16;6;17;7;10;8;1;7;6;60;43;17;103;222;131;91;116;52;64
Independiente Medellín;2023;45;23;22;17;12;5;16;8;8;12;3;9;3;58;47;11;105;241;161;80;139;58;81
Atlético Bucaramanga;2023;39;20;19;10;7;3;13;7;6;16;6;10;13;33;42;-9;75;176;103;73;120;66;54
Deportes Tolima;2023;39;20;19;15;11;4;13;6;7;11;3;8;4;43;41;2;84;199;109;90;134;63;71
América de Cali;2023;45;22;23;22;15;7;13;4;9;10;3;7;2;74;46;28;120;192;108;84;131;58;73
Atlético Nacional;2023;47;23;24;22;15;7;16;6;10;9;2;7;5;65;37;28;102;248;123;125;126;52;74
Deportivo Pasto;2023;45;23;22;15;11;4;14;9;5;16;3;13;10;43;45;-2;88;192;112;80;121;47;74
Envigado;2023;39;19;20;6;5;1;14;7;7;19;7;12;20;31;51;-20;82;165;86;79;122;56;66
Alianza Petrolera;2023;45;22;23;18;15;3;11;2;9;16;5;11;9;50;51;-1;101;226;115;111;134;61;73
Rionegro Águilas;2023;45;23;22;22;16;6;16;6;10;7;1;6;1;70;44;26;114;214;113;101;148;71;77
La Equidad;2023;39;19;20;9;7;2;22;11;11;8;1;7;12;37;36;1;73;204;130;74;132;65;67
Jaguares de Córdoba;2023;39;19;20;7;7;0;12;7;5;20;5;15;19;23;46;-23;69;163;85;78;103;59;44
Boyacá Chicó;2023;45;22;23;12;11;1;20;8;12;13;3;10;18;44;49;-5;93;217;126;91;86;39;47
Deportivo Pereira;2023;39;20;19;11;7;4;11;6;5;17;7;10;17;42;51;-9;93;188;113;75;117;51;66
Unión Magdalena;2023;39;19;20;8;6;2;17;10;7;14;3;11;14;37;58;-21;95;194;111;83;148;61;87
