common_name;season;matches_played;matches_played_home;matches_played_away;wins;wins_home;wins_away;draws;draws_home;draws_away;losses;losses_home;losses_away;league_position;goals_scored;goals_conceded;goal_difference;total_goal_count;corners_total;corners_total_home;corners_total_away;cards_total;cards_total_home;cards_total_away
Junior;2017;40;20;20;18;13;5;8;4;4;14;3;11;1;57;41;16;98;177;92;85;97;38;59
Deportivo Cali;2017;46;23;23;16;11;5;15;9;6;15;3;12;14;62;61;1;123;232;156;76;165;80;85
Santa Fe;2017;40;20;20;18;11;7;13;6;7;9;3;6;2;37;30;7;67;175;96;79;136;67;69
Atlético Huila;2017;40;20;20;13;9;4;9;5;4;18;6;12;10;37;48;-11;85;168;83;85;109;50;59
Once Caldas;2017;40;20;20;10;6;4;12;9;3;18;5;13;17;34;53;-19;87;178;128;50;129;60;69
Millonarios;2017;44;22;22;21;15;6;11;3;8;12;4;8;4;59;34;25;93;218;120;98;126;57;69
Independiente Medellín;2017;42;21;21;21;13;8;9;4;5;12;4;8;9;62;48;14;110;203;121;82;145;68;77
Cortuluá;2017;40;20;20;11;7;4;9;6;3;20;7;13;13;36;59;-23;95;204;112;92;142;69;73
Atlético Bucaramanga;2017;42;21;21;12;8;4;12;6;6;18;7;11;19;36;45;-9;81;178;112;66;137;70;67
Deportes Tolima;2017;40;20;20;14;12;2;11;7;4;15;1;14;5;49;48;1;97;172;88;84;120;60;60
América de Cali;2017;44;22;22;17;13;4;14;6;8;13;3;10;6;46;38;8;84;167;94;73;141;63;78
Atlético Nacional;2017;46;23;23;31;19;12;7;4;3;8;0;8;3;70;27;43;97;223;129;94;140;63;77
Deportivo Pasto;2017;42;21;21;16;11;5;9;6;3;17;4;13;15;56;50;6;106;173;98;75;125;59;66
Patriotas Boyacá;2017;40;20;20;9;8;1;18;9;9;13;3;10;16;36;43;-7;79;183;116;67;103;44;59
Envigado;2017;40;20;20;11;7;4;11;7;4;18;6;12;11;37;49;-12;86;167;84;83;124;57;67
Alianza Petrolera;2017;40;20;20;12;9;3;10;3;7;18;8;10;18;40;52;-12;92;169;99;70;114;50;64
Rionegro Águilas;2017;40;20;20;8;7;1;15;5;10;17;8;9;20;30;47;-17;77;155;96;59;117;51;66
Tigres;2017;40;20;20;11;8;3;12;7;5;17;5;12;12;24;42;-18;66;153;93;60;130;62;68
La Equidad;2017;40;20;20;12;8;4;17;7;10;11;5;6;7;40;36;4;76;164;94;70;120;63;57
Jaguares de Córdoba;2017;42;21;21;15;10;5;14;5;9;13;6;7;8;46;43;3;89;163;105;58;107;49;58
