common_name;season;matches_played;matches_played_home;matches_played_away;wins;wins_home;wins_away;draws;draws_home;draws_away;losses;losses_home;losses_away;league_position;goals_scored;goals_conceded;goal_difference;total_goal_count;corners_total;corners_total_home;corners_total_away;cards_total;cards_total_home;cards_total_away
Junior;2022;52;26;26;20;16;4;10;4;6;22;6;16;4;62;58;4;120;249;131;118;163;71;92
Deportivo Cali;2022;40;20;20;7;5;2;13;9;4;20;6;14;18;36;59;-23;95;181;112;69;140;69;71
Santa Fe;2022;46;23;23;19;15;4;13;5;8;14;3;11;3;62;61;1;123;206;107;99;166;72;94
Once Caldas;2022;40;20;20;13;9;4;17;8;9;10;3;7;10;39;36;3;75;186;106;80;110;51;59
Millonarios;2022;52;26;26;26;15;11;13;8;5;13;3;10;2;64;40;24;104;286;164;122;116;47;69
Independiente Medellín;2022;54;27;27;25;18;7;16;7;9;13;2;11;1;71;51;20;122;232;123;109;140;70;70
Cortuluá;2022;40;20;20;7;6;1;10;4;6;23;10;13;20;33;55;-22;88;204;112;92;105;49;56
Atlético Bucaramanga;2022;46;23;23;19;12;7;8;3;5;19;8;11;11;56;58;-2;114;182;104;78;129;60;69
Deportes Tolima;2022;48;24;24;23;13;10;13;7;6;12;4;8;14;62;42;20;104;188;104;84;133;52;81
América de Cali;2022;46;23;23;14;11;3;16;8;8;16;4;12;4;45;45;0;90;210;110;100;125;55;70
Atlético Nacional;2022;48;24;24;21;14;7;18;8;10;9;2;7;9;71;48;23;119;236;121;115;136;59;77
Deportivo Pasto;2022;46;23;23;16;10;6;14;8;6;16;5;11;3;46;49;-3;95;206;113;93;139;61;78
Patriotas Boyacá;2022;40;20;20;8;6;2;12;7;5;20;7;13;19;40;51;-11;91;187;109;78;104;45;59
Envigado;2022;46;23;23;15;10;5;13;7;6;18;6;12;15;46;55;-9;101;166;95;71;153;78;75
Alianza Petrolera;2022;40;20;20;11;7;4;13;6;7;16;7;9;17;46;52;-6;98;171;109;62;118;56;62
Rionegro Águilas;2022;46;23;23;18;12;6;14;8;6;14;3;11;2;49;48;1;97;200;118;82;147;73;74
La Equidad;2022;46;23;23;16;9;7;19;9;10;11;5;6;13;56;51;5;107;208;115;93;146;78;68
Jaguares de Córdoba;2022;40;20;20;12;9;3;11;4;7;17;7;10;16;40;49;-9;89;168;90;78;107;47;60
Deportivo Pereira;2022;48;24;24;19;11;8;12;6;6;17;7;10;1;61;57;4;118;193;100;93;155;74;81
Unión Magdalena;2022;40;20;20;10;6;4;11;7;4;19;7;12;12;32;52;-20;84;140;81;59;141;70;71
